OASIS_ID,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,DILILIST_ID,DILIRANK2_ID,DRUGMATRIX_ID,FRAUNHOFER_ID,ICE_ID,TGGATES_ID,TOXREFDB_ID,Invivo_ranking,Purchased_Broad_Enamine,Purchased_Broad_Molport,Purchased_Broad_Medchemxpress,InChIKey14,Y_Caco2_Wang,Y_PAMPA_NCATS,Y_HIA_Hou,Y_Pgp_Broccatelli,Y_Bioavailability_Ma,Y_Lipophilicity_AstraZeneca,Y_Solubility_AqSolDB,Y_HydrationFreeEnergy_FreeSolv,Y_BBB_Martins,Y_PPBR_AZ,Y_CYP2C19_Veith,Y_CYP2D6_Veith,Y_CYP3A4_Veith,Y_CYP1A2_Veith,Y_CYP2C9_Veith,Y_CYP2C9_Substrate_CarbonMangels,Y_CYP2D6_Substrate_CarbonMangels,Y_CYP3A4_Substrate_CarbonMangels,Y_Half_Life_Obach,Y_Clearance_Hepatocyte_AZ
OASIS085,DTXSID2023270,Metformin,DTXCID803270,657-24-9,XZWYZXLIPXDOLR-UHFFFAOYSA-N,"N,N-Dimethyltriimidodicarbonic diamide",CN(C)C(=N)NC(N)=N,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)
",dilist_1110,,,,,tggates_81,,2,Yes,No,Yes,XZWYZXLIPXDOLR,,,1,,1,,,,,,0,0,0,0,0,,,,1.7,
OASIS676,DTXSID0046779,Darunavir,DTXCID8026779,206361-99-1,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,"(3R,3aS,6aR)-Hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-4-[(4-aminobenzene-1-sulfonyl)(2-methylpropyl)amino]-3-hydroxy-1-phenylbutan-2-yl}carbamate",CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)C1=CC=C(N)C=C1,"InChI=1S/C27H37N3O7S/c1-18(2)15-30(38(33,34)21-10-8-20(28)9-11-21)16-24(31)23(14-19-6-4-3-5-7-19)29-27(32)37-25-17-36-26-22(25)12-13-35-26/h3-11,18,22-26,31H,12-17,28H2,1-2H3,(H,29,32)/t22-,23-,24+,25-,26+/m0/s1
",dilist_179,,,,,,,4,Yes,No,Yes,CJBJHOAVZSMMDJ,,1,,,,,,,,,,,,,,,,,,
OASIS1250,DTXSID6046214,Adefovir,DTXCID4026214,106941-25-7,SUPKOOSCJHTBAH-UHFFFAOYSA-N,{[2-(6-Amino-9H-purin-9-yl)ethoxy]methyl}phosphonic acid,NC1=NC=NC2=C1N=CN2CCOCP(O)(O)=O,"InChI=1S/C8H12N5O4P/c9-7-6-8(11-3-10-7)13(4-12-6)1-2-17-5-18(14,15)16/h3-4H,1-2,5H2,(H2,9,10,11)(H2,14,15,16)
",dilist_958,,,,,,,4,Yes,No,Yes,SUPKOOSCJHTBAH,,,,,0,,,,,,,,,,,,,,1.6,
OASIS1238,DTXSID6044012,Saquinavir,DTXCID4024012,127779-20-8,QWAXKHKRTORLEM-UGJKXSETSA-N,"N~1~-{(2S,3R)-4-[(3S,4aS,8aS)-3-(tert-Butylcarbamoyl)octahydroisoquinolin-2(1H)-yl]-3-hydroxy-1-phenylbutan-2-yl}-N~2~-(quinoline-2-carbonyl)-L-aspartamide",CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=NC2=C(C=CC=C2)C=C1,"InChI=1S/C38H50N6O5/c1-38(2,3)43-37(49)32-20-26-14-7-8-15-27(26)22-44(32)23-33(45)30(19-24-11-5-4-6-12-24)41-36(48)31(21-34(39)46)42-35(47)29-18-17-25-13-9-10-16-28(25)40-29/h4-6,9-13,16-18,26-27,30-33,45H,7-8,14-15,19-23H2,1-3H3,(H2,39,46)(H,41,48)(H,42,47)(H,43,49)/t26-,27+,30-,31-,32-,33+/m0/s1
",dilist_130,,,,,,,4,No,No,Yes,QWAXKHKRTORLEM,-6.1338992,,,1,0,,,,0,98.86,,,,,,0,1,1,13,87.85
OASIS1084,DTXSID5021255,Salbutamol,DTXCID001255,18559-94-9,NDAUXUAQIAJITI-UHFFFAOYSA-N,4-[2-(tert-Butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,"InChI=1/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3
",dilist_134,,,,,,,4,Yes,No,Yes,NDAUXUAQIAJITI,,,,,,,-1.2298,,0,22.79,,,,,,0,0,0,2.4,12
OASIS1698,DTXSID4020583,Ethyl acrylate,DTXCID00583,140-88-5,JIGUQPWFLRLWPJ-UHFFFAOYSA-N,Ethyl prop-2-enoate,CCOC(=O)C=C,"InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3
",,,,,ice_12,,,3,Yes,No,No,JIGUQPWFLRLWPJ,,,,,,,-0.74,,,,,,,,,,,,,
OASIS1256,DTXSID6047230,Propanthelin,DTXCID4027230,298-50-0,VVWYOYDLCMFIEM-UHFFFAOYSA-N,N-Methyl-N-(propan-2-yl)-N-{2-[(9H-xanthene-9-carbonyl)oxy]ethyl}propan-2-aminium,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C,"InChI=1S/C23H30NO3/c1-16(2)24(5,17(3)4)14-15-26-23(25)22-18-10-6-8-12-20(18)27-21-13-9-7-11-19(21)22/h6-13,16-17,22H,14-15H2,1-5H3/q+1
",dilist_147,,,,,,,4,No,Yes,No,VVWYOYDLCMFIEM,,,0,,,0.2,,,,,,,0,1,,,,,,
OASIS736,DTXSID1023736,Vecuronium bromide,DTXCID003736,50700-72-6,VEPSYABRBFXYIB-PWXDFCLTSA-M,"3alpha,17beta-Bis(acetyloxy)-16beta-(1-methylpiperidin-1-ium-1-yl)-2beta-(piperidin-1-yl)-5alpha-androstane bromide",[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,"InChI=1S/C34H57N2O4.BrH/c1-23(37)39-31-20-25-12-13-26-27(34(25,4)22-29(31)35-16-8-6-9-17-35)14-15-33(3)28(26)21-30(32(33)40-24(2)38)36(5)18-10-7-11-19-36;/h25-32H,6-22H2,1-5H3;1H/q+1;/p-1/t25-,26+,27-,28-,29-,30-,31-,32-,33-,34-;/m0./s1
",dilist_106,,,,,,,4,Yes,No,Yes,VEPSYABRBFXYIB,,,,,,,,,,,,,,,,,,,1.4,
OASIS1670,DTXSID4020901,Chloroacetic acid,DTXCID20901,79-11-8,FOCAUTSVDIKZOP-UHFFFAOYSA-N,Chloroacetic acid,OC(=O)CCl,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)
",,,,,ice_9,,,3,Yes,No,No,FOCAUTSVDIKZOP,,,,,,,0.9277,,,,,,,,,,,,,
OASIS727,DTXSID1023449,Phenformin,DTXCID903449,114-86-3,ICFJFFQQTFMIBG-UHFFFAOYSA-N,N-(2-Phenylethyl)triimidodicarbonic diamide,NC(=N)NC(=N)NCCC1=CC=CC=C1,"InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H6,11,12,13,14,15)
",dilist_892,,,,,,,4,No,Yes,No,ICFJFFQQTFMIBG,,,,,,,,,,,0,,0,0,0,0,1,0,,
