OASIS_ID,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,DILILIST_ID,DILIRANK2_ID,DRUGMATRIX_ID,FRAUNHOFER_ID,ICE_ID,TGGATES_ID,TOXREFDB_ID,Invivo_ranking,Purchased_Broad_Enamine,Purchased_Broad_Molport,Purchased_Broad_Medchemxpress,InChIKey14,BESP,animal hepatotoxicity Ambe et al,animal hepatotoxicity Liu et al,human hepatotoxicity Mulliner et al,preclinical hepatotoxicity Mulliner et al
OASIS085,DTXSID2023270,Metformin,DTXCID803270,657-24-9,XZWYZXLIPXDOLR-UHFFFAOYSA-N,"N,N-Dimethyltriimidodicarbonic diamide",CN(C)C(=N)NC(N)=N,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)
",dilist_1110,,,,,tggates_81,,2.0,Yes,No,Yes,XZWYZXLIPXDOLR,,,,1.0,1.0
OASIS676,DTXSID0046779,Darunavir,DTXCID8026779,206361-99-1,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,"(3R,3aS,6aR)-Hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-4-[(4-aminobenzene-1-sulfonyl)(2-methylpropyl)amino]-3-hydroxy-1-phenylbutan-2-yl}carbamate",CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)C1=CC=C(N)C=C1,"InChI=1S/C27H37N3O7S/c1-18(2)15-30(38(33,34)21-10-8-20(28)9-11-21)16-24(31)23(14-19-6-4-3-5-7-19)29-27(32)37-25-17-36-26-22(25)12-13-35-26/h3-11,18,22-26,31H,12-17,28H2,1-2H3,(H,29,32)/t22-,23-,24+,25-,26+/m0/s1
",dilist_179,,,,,,,4.0,Yes,No,Yes,CJBJHOAVZSMMDJ,,,,1.0,1.0
OASIS272,DTXSID7047279,CP-532623,DTXCID5027279,261947-38-0,TUPKOWFPVAXQFP-OFNKIYASSA-N,"Propan-2-yl (2R,4S)-4-(acetyl{[3,5-bis(trifluoromethyl)phenyl]methyl}amino)-2-ethyl-6-(trifluoromethyl)-3,4-dihydroquinoline-1(2H)-carboxylate",CC[C@@H]1C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C,"InChI=1S/C27H27F9N2O3/c1-5-20-12-23(21-11-17(25(28,29)30)6-7-22(21)38(20)24(40)41-14(2)3)37(15(4)39)13-16-8-18(26(31,32)33)10-19(9-16)27(34,35)36/h6-11,14,20,23H,5,12-13H2,1-4H3/t20-,23+/m1/s1
",,,,,,,toxrefdb_159,1.0,No,No,Yes,TUPKOWFPVAXQFP,,1.0,,,
OASIS1084,DTXSID5021255,Salbutamol,DTXCID001255,18559-94-9,NDAUXUAQIAJITI-UHFFFAOYSA-N,4-[2-(tert-Butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,"InChI=1/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3
",dilist_134,,,,,,,4.0,Yes,No,Yes,NDAUXUAQIAJITI,0.0,,,1.0,1.0
OASIS1670,DTXSID4020901,Chloroacetic acid,DTXCID20901,79-11-8,FOCAUTSVDIKZOP-UHFFFAOYSA-N,Chloroacetic acid,OC(=O)CCl,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)
",,,,,ice_9,,,3.0,Yes,No,No,FOCAUTSVDIKZOP,,0.0,,0.0,1.0
OASIS727,DTXSID1023449,Phenformin,DTXCID903449,114-86-3,ICFJFFQQTFMIBG-UHFFFAOYSA-N,N-(2-Phenylethyl)triimidodicarbonic diamide,NC(=N)NC(=N)NCCC1=CC=CC=C1,"InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H6,11,12,13,14,15)
",dilist_892,,,,,,,4.0,No,Yes,No,ICFJFFQQTFMIBG,,,,0.0,0.0
OASIS510,DTXSID3024239,Oxadiazon,DTXCID304239,19666-30-9,CHNUNORXWHYHNE-UHFFFAOYSA-N,"5-tert-Butyl-3-{2,4-dichloro-5-[(propan-2-yl)oxy]phenyl}-1,3,4-oxadiazol-2(3H)-one",CC(C)OC1=CC(N2N=C(OC2=O)C(C)(C)C)=C(Cl)C=C1Cl,"InChI=1S/C15H18Cl2N2O3/c1-8(2)21-12-7-11(9(16)6-10(12)17)19-14(20)22-13(18-19)15(3,4)5/h6-8H,1-5H3
",,,,fraunhofer_195,,,,3.0,No,Yes,Yes,CHNUNORXWHYHNE,,1.0,,,1.0
OASIS152,DTXSID0020604,4-Vinyl-1-cyclohexene diepoxide,DTXCID80604,106-87-6,OECTYKWYRCHAKR-UHFFFAOYSA-N,3-(Oxiran-2-yl)-7-oxabicyclo[4.1.0]heptane,C1OC1C1CCC2OC2C1,"InChI=1/C8H12O2/c1-2-6-7(10-6)3-5(1)8-4-9-8/h5-8H,1-4H2
",,,,,,,toxrefdb_59,1.0,No,Yes,No,OECTYKWYRCHAKR,,,,,1.0
OASIS703,DTXSID1022843,Clomiphene,DTXCID202843,911-45-5,GKIRPKYJQBWNGO-UHFFFAOYSA-N,"2-[4-(2-Chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethan-1-amine",CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C26H28ClNO/c1-3-28(4-2)19-20-29-24-17-15-22(16-18-24)25(21-11-7-5-8-12-21)26(27)23-13-9-6-10-14-23/h5-18H,3-4,19-20H2,1-2H3
",dilist_531,,,,,,,4.0,Yes,No,No,GKIRPKYJQBWNGO,1.0,,,,
OASIS1870,DTXSID6040666,Deferiprone,DTXCID4020666,30652-11-0,TZXKOCQBRNJULO-UHFFFAOYSA-N,"3-Hydroxy-1,2-dimethylpyridin-4(1H)-one",CN1C=CC(=O)C(O)=C1C,"InChI=1S/C7H9NO2/c1-5-7(10)6(9)3-4-8(5)2/h3-4,10H,1-2H3
",,dilirank2_155,,,,,,4.0,No,Yes,Yes,TZXKOCQBRNJULO,,,,1.0,1.0
