OASIS_ID,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,DILILIST_ID,DILIRANK2_ID,DRUGMATRIX_ID,FRAUNHOFER_ID,ICE_ID,TGGATES_ID,TOXREFDB_ID,Invivo_ranking,Purchased_Broad_Enamine,Purchased_Broad_Molport,Purchased_Broad_Medchemxpress,Standardized_SMILES_chembl,Standardized_InChI_chembl,Standardized_InChIKey_chembl,ChEMBL_ID,molecule_chembl_id,ABCB1,ABCB11,ABCC2,ADRA1A,ADRA1D,ADRA2B,ADRA2C,AR,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,CYP1A2,CYP2C19,CYP2C9,CYP2D6,CYP3A4,DRD1,DRD2,DRD3,DRD4,EGFR,ERBB2,HRH1,HTR1A,HTR2A,HTR2B,HTR2C,HTR6,HTR7,KCNH2,KDR,PGR,PTGS1,PTGS2,SIGMAR1,SLC22A1,SLC22A2,SLC6A2,SLC6A3,SLC6A4
OASIS085,DTXSID2023270,Metformin,DTXCID803270,657-24-9,XZWYZXLIPXDOLR-UHFFFAOYSA-N,"N,N-Dimethyltriimidodicarbonic diamide",CN(C)C(=N)NC(N)=N,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)
",dilist_1110,,,,,tggates_81,,2.0,Yes,No,Yes,CN(C)C(=N)NC(=N)N,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)",XZWYZXLIPXDOLR-UHFFFAOYSA-N,CHEMBL1431,CHEMBL1431,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
OASIS676,DTXSID0046779,Darunavir,DTXCID8026779,206361-99-1,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,"(3R,3aS,6aR)-Hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-4-[(4-aminobenzene-1-sulfonyl)(2-methylpropyl)amino]-3-hydroxy-1-phenylbutan-2-yl}carbamate",CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)C1=CC=C(N)C=C1,"InChI=1S/C27H37N3O7S/c1-18(2)15-30(38(33,34)21-10-8-20(28)9-11-21)16-24(31)23(14-19-6-4-3-5-7-19)29-27(32)37-25-17-36-26-22(25)12-13-35-26/h3-11,18,22-26,31H,12-17,28H2,1-2H3,(H,29,32)/t22-,23-,24+,25-,26+/m0/s1
",dilist_179,,,,,,,4.0,Yes,No,Yes,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,"InChI=1S/C27H37N3O7S/c1-18(2)15-30(38(33,34)21-10-8-20(28)9-11-21)16-24(31)23(14-19-6-4-3-5-7-19)29-27(32)37-25-17-36-26-22(25)12-13-35-26/h3-11,18,22-26,31H,12-17,28H2,1-2H3,(H,29,32)/t22-,23-,24+,25-,26+/m0/s1",CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1323,CHEMBL1323,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OASIS1238,DTXSID6044012,Saquinavir,DTXCID4024012,127779-20-8,QWAXKHKRTORLEM-UGJKXSETSA-N,"N~1~-{(2S,3R)-4-[(3S,4aS,8aS)-3-(tert-Butylcarbamoyl)octahydroisoquinolin-2(1H)-yl]-3-hydroxy-1-phenylbutan-2-yl}-N~2~-(quinoline-2-carbonyl)-L-aspartamide",CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=NC2=C(C=CC=C2)C=C1,"InChI=1S/C38H50N6O5/c1-38(2,3)43-37(49)32-20-26-14-7-8-15-27(26)22-44(32)23-33(45)30(19-24-11-5-4-6-12-24)41-36(48)31(21-34(39)46)42-35(47)29-18-17-25-13-9-10-16-28(25)40-29/h4-6,9-13,16-18,26-27,30-33,45H,7-8,14-15,19-23H2,1-3H3,(H2,39,46)(H,41,48)(H,42,47)(H,43,49)/t26-,27+,30-,31-,32-,33+/m0/s1
",dilist_130,,,,,,,4.0,No,No,Yes,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,"InChI=1S/C38H50N6O5/c1-38(2,3)43-37(49)32-20-26-14-7-8-15-27(26)22-44(32)23-33(45)30(19-24-11-5-4-6-12-24)41-36(48)31(21-34(39)46)42-35(47)29-18-17-25-13-9-10-16-28(25)40-29/h4-6,9-13,16-18,26-27,30-33,45H,7-8,14-15,19-23H2,1-3H3,(H2,39,46)(H,41,48)(H,42,47)(H,43,49)/t26-,27+,30-,31-,32-,33+/m0/s1",QWAXKHKRTORLEM-UGJKXSETSA-N,CHEMBL114,CHEMBL114,1.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
OASIS1084,DTXSID5021255,Salbutamol,DTXCID001255,18559-94-9,NDAUXUAQIAJITI-UHFFFAOYSA-N,4-[2-(tert-Butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,"InChI=1/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3
",dilist_134,,,,,,,4.0,Yes,No,Yes,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",NDAUXUAQIAJITI-UHFFFAOYSA-N,CHEMBL714,CHEMBL714,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
OASIS1256,DTXSID6047230,Propanthelin,DTXCID4027230,298-50-0,VVWYOYDLCMFIEM-UHFFFAOYSA-N,N-Methyl-N-(propan-2-yl)-N-{2-[(9H-xanthene-9-carbonyl)oxy]ethyl}propan-2-aminium,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C,"InChI=1S/C23H30NO3/c1-16(2)24(5,17(3)4)14-15-26-23(25)22-18-10-6-8-12-20(18)27-21-13-9-7-11-19(21)22/h6-13,16-17,22H,14-15H2,1-5H3/q+1
",dilist_147,,,,,,,4.0,No,Yes,No,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,"InChI=1S/C23H30NO3/c1-16(2)24(5,17(3)4)14-15-26-23(25)22-18-10-6-8-12-20(18)27-21-13-9-7-11-19(21)22/h6-13,16-17,22H,14-15H2,1-5H3/q+1",VVWYOYDLCMFIEM-UHFFFAOYSA-N,CHEMBL1180725,CHEMBL1180725,,,,,,,,,1.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,
OASIS1245,DTXSID6045240,Demecarium bromide,DTXCID4025240,56-94-0,GYJIXUBSGDFDNX-UHFFFAOYSA-L,"2,2'-{Decane-1,10-diylbis[(methylcarbamoyl)oxy]}bis(N,N,N-trimethylanilinium) dibromide",[Br-].[Br-].CN(CCCCCCCCCCN(C)C(=O)OC1=C(C=CC=C1)[N+](C)(C)C)C(=O)OC1=C(C=CC=C1)[N+](C)(C)C,"InChI=1S/C32H52N4O4.2BrH/c1-33(31(37)39-29-23-17-15-21-27(29)35(3,4)5)25-19-13-11-9-10-12-14-20-26-34(2)32(38)40-30-24-18-16-22-28(30)36(6,7)8;;/h15-18,21-24H,9-14,19-20,25-26H2,1-8H3;2*1H/q+2;;/p-2
",dilist_653,,,,,,,4.0,No,Yes,Yes,CN(CCCCCCCCCCN(C)C(=O)Oc1ccccc1[N+](C)(C)C)C(=O)Oc1ccccc1[N+](C)(C)C,"InChI=1S/C32H52N4O4/c1-33(31(37)39-29-23-17-15-21-27(29)35(3,4)5)25-19-13-11-9-10-12-14-20-26-34(2)32(38)40-30-24-18-16-22-28(30)36(6,7)8/h15-18,21-24H,9-14,19-20,25-26H2,1-8H3/q+2",VXUVVFFRFRITPE-UHFFFAOYSA-N,CHEMBL1314110,CHEMBL1314110,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
OASIS736,DTXSID1023736,Vecuronium bromide,DTXCID003736,50700-72-6,VEPSYABRBFXYIB-PWXDFCLTSA-M,"3alpha,17beta-Bis(acetyloxy)-16beta-(1-methylpiperidin-1-ium-1-yl)-2beta-(piperidin-1-yl)-5alpha-androstane bromide",[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,"InChI=1S/C34H57N2O4.BrH/c1-23(37)39-31-20-25-12-13-26-27(34(25,4)22-29(31)35-16-8-6-9-17-35)14-15-33(3)28(26)21-30(32(33)40-24(2)38)36(5)18-10-7-11-19-36;/h25-32H,6-22H2,1-5H3;1H/q+1;/p-1/t25-,26+,27-,28-,29-,30-,31-,32-,33-,34-;/m0./s1
",dilist_106,,,,,,,4.0,Yes,No,Yes,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,"InChI=1S/C34H57N2O4/c1-23(37)39-31-20-25-12-13-26-27(34(25,4)22-29(31)35-16-8-6-9-17-35)14-15-33(3)28(26)21-30(32(33)40-24(2)38)36(5)18-10-7-11-19-36/h25-32H,6-22H2,1-5H3/q+1/t25-,26+,27-,28-,29-,30-,31-,32-,33-,34-/m0/s1",BGSZAXLLHYERSY-XQIGCQGXSA-N,CHEMBL1201219,CHEMBL1201219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,
OASIS727,DTXSID1023449,Phenformin,DTXCID903449,114-86-3,ICFJFFQQTFMIBG-UHFFFAOYSA-N,N-(2-Phenylethyl)triimidodicarbonic diamide,NC(=N)NC(=N)NCCC1=CC=CC=C1,"InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H6,11,12,13,14,15)
",dilist_892,,,,,,,4.0,No,Yes,No,N=C(N)NC(=N)NCCc1ccccc1,"InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H6,11,12,13,14,15)",ICFJFFQQTFMIBG-UHFFFAOYSA-N,CHEMBL170988,CHEMBL170988,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,0.0,
OASIS645,DTXSID0023589,Sotalol,DTXCID303589,3930-20-9,ZBMZVLHSJCTVON-UHFFFAOYSA-N,N-(4-{1-Hydroxy-2-[(propan-2-yl)amino]ethyl}phenyl)methanesulfonamide,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,"InChI=1/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3
",dilist_190,,,,,,,4.0,No,Yes,No,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,"InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3",ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL471,CHEMBL471,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
OASIS1106,DTXSID5023116,Guanethidine,DTXCID203116,55-65-2,ACGDKVXYNVEAGU-UHFFFAOYSA-N,N-[2-(Azocan-1-yl)ethyl]guanidine,NC(=N)NCCN1CCCCCCC1,"InChI=1S/C10H22N4/c11-10(12)13-6-9-14-7-4-2-1-3-5-8-14/h1-9H2,(H4,11,12,13)
",dilist_896,,,,,,,4.0,Yes,No,No,N=C(N)NCCN1CCCCCCC1,"InChI=1S/C10H22N4/c11-10(12)13-6-9-14-7-4-2-1-3-5-8-14/h1-9H2,(H4,11,12,13)",ACGDKVXYNVEAGU-UHFFFAOYSA-N,CHEMBL765,CHEMBL765,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
