ensmbl_gene_name,Du_PHH_1,Du_PHH_2,Fu_PHH_1,Fu_PHH_2,Kim_PHH_1,Kim_PHH_2,Koui_PHH_1,Koui_PHH_2,Xiang_PHH_1,Xiang_PHH_2,Xie_PHH_1,Xie_PHH_2,Xie_PHH_3,Schneeberger_PHH_1,Schneeberger_PHH_2,Gao_PHH,Boon_PHH_1,Boon_PHH_2,Wang_PHH_1,Wang_PHH_2
ENSG00000223972.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227232.5,1,2,33,29,25,54,1,0,18,17,23,67,71,0,0,1,0,0,8,8
ENSG00000278267.1,1,5,0,0,2,3,0,2,1,0,0,1,0,0,1,1,0,0,0,0
ENSG00000243485.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000268903.1,5,2,11,16,3,24,0,0,3,4,5,18,2,2,0,3,0,0,16,1
ENSG00000269981.1,1,1,28,35,3,12,1,1,7,1,0,26,0,0,0,11,1,2,20,0
ENSG00000239906.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241860.7,1,2,9,9,0,2,0,2,0,3,4,3,3,0,0,0,0,0,4,2
ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ENSG00000279457.4,28,30,37,47,25,106,10,7,4,36,38,32,54,1,3,14,4,13,10,10
ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463.10,0,3,2,9,1,4,1,2,0,2,2,1,4,0,0,2,3,0,1,0
ENSG00000286448.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.12,2,3,21,19,2,3,0,1,5,5,3,7,6,0,0,10,1,4,37,3
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.10,0,2,13,5,6,4,1,2,1,0,1,2,2,2,2,2,0,1,1,3
ENSG00000235146.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,36,21,175,92,451,1027,1,0,16,849,13,47,2089,28,24,13,19,24,54,40
ENSG00000225630.1,3494,2525,1298,956,10297,9289,81,89,78,80,68,183,473,1149,908,1628,1256,1466,375,134
ENSG00000237973.1,1647,605,3292,2163,7065,7261,97,81,413,570,345,945,761,41,55,1110,402,378,645,869
