Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.7242384439597549,0.05661103293726983,0.035155035835186005
Metadata_ldh_normalized,1,0.6887506345596355,0.05734973055628559,0.0353099881803908
Metadata_ldh_normalized,2,0.7123511046622343,0.05520078885718117,0.03419999720724066
Metadata_ldh_normalized,3,0.7709837087605322,0.04945606356299593,0.033392161989544485
Metadata_ldh_normalized,4,0.741751137237565,0.05039302259045647,0.03303644801862314
Metadata_mtt_normalized,0,0.7341695486246155,0.10803051560448314,0.06681931977954267
Metadata_mtt_normalized,1,0.658398663936433,0.11942895280621524,0.07124537636515077
Metadata_mtt_normalized,2,0.7172845450672969,0.11185300983301723,0.0697313946907164
Metadata_mtt_normalized,3,0.7323699532000335,0.10873168005208812,0.06761289266710296
Metadata_mtt_normalized,4,0.7141085591146902,0.10934187325424921,0.06769505045681681
