Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.21651625567298538,0.07633681641858074,0.05708516446016485
Metadata_ldh_normalized,1,0.13897098896924942,0.07899491057273438,0.05712350572391629
Metadata_ldh_normalized,2,0.3171506376854978,0.08457216258449404,0.06151721868830751
Metadata_ldh_normalized,3,0.31002985574577635,0.08411554018510607,0.06139871038987289
Metadata_ldh_normalized,4,0.1844384695354785,0.08435654807956482,0.061501145053657225
Metadata_mtt_normalized,0,0.45597070063736167,0.10911289315076034,0.07870432658711371
Metadata_mtt_normalized,1,0.3729767135656642,0.11486328223790021,0.08023560473712875
Metadata_mtt_normalized,2,0.5430891168972778,0.14121877467014793,0.09562898115692789
Metadata_mtt_normalized,3,0.5101650568190986,0.13864983038028939,0.09383924275490536
Metadata_mtt_normalized,4,0.43621149378821644,0.1382242258875406,0.09507960790919111
