Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.33512794689858905,0.08790291109189172,0.0651160275722806
Metadata_ldh_normalized,1,0.2571724497119837,0.0885974344016617,0.06377763589299204
Metadata_ldh_normalized,2,0.3089715706057192,0.0855582486915087,0.06348462097278089
Metadata_ldh_normalized,3,0.37958119352575037,0.08140083019261395,0.06184993276530032
Metadata_ldh_normalized,4,0.290097698834512,0.08355077667556857,0.06226475846818667
Metadata_mtt_normalized,0,0.567825093480181,0.1377443702687371,0.09388424672372471
Metadata_mtt_normalized,1,0.4854695385531461,0.14657347675643778,0.09761562806250561
Metadata_mtt_normalized,2,0.548978026476485,0.1412770930811451,0.09724797981896761
Metadata_mtt_normalized,3,0.5412957384769003,0.1423492066187379,0.09614684040478388
Metadata_mtt_normalized,4,0.5377718104148422,0.13903180056081973,0.09617985333104363
