Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.6316344840553192,0.0654295152063736,0.04646111094122546
Metadata_ldh_normalized,1,0.5899138993986937,0.06582860763741764,0.044679450668870434
Metadata_ldh_normalized,2,0.5965997974855193,0.06537052680036821,0.044868928962305855
Metadata_ldh_normalized,3,0.6626861657163726,0.060021028614593894,0.0437638354072872
Metadata_ldh_normalized,4,0.6248469122918231,0.060737297209561336,0.043702917462567485
Metadata_mtt_normalized,0,0.7434959659926744,0.10611851998523159,0.07100753642768878
Metadata_mtt_normalized,1,0.7095947843951262,0.1101164114661545,0.0724048665800802
Metadata_mtt_normalized,2,0.7361967081572558,0.10804707268810892,0.07329720260407836
Metadata_mtt_normalized,3,0.7274586207867151,0.10972482280865417,0.07185067935068969
Metadata_mtt_normalized,4,0.7227480635239636,0.107677069472498,0.07227014051541424
