Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.4171234039945342,0.08230430036388334,0.04577491951529782
Metadata_ldh_normalized,1,0.4112075478252566,0.07887843067343603,0.04418782722934433
Metadata_ldh_normalized,2,0.41292149143607204,0.07886095281403112,0.04503793914021987
Metadata_ldh_normalized,3,0.42381780980100037,0.07844518152189493,0.04427334826907287
Metadata_ldh_normalized,4,0.4437333984649502,0.07395928298900592,0.0432198465058306
Metadata_mtt_normalized,0,0.16389965914073856,0.1915901973494291,0.10587109677244697
Metadata_mtt_normalized,1,0.19896969313405866,0.1828834129569053,0.10271478633913605
Metadata_mtt_normalized,2,0.20184330154633245,0.18793903006837862,0.10584276087348385
Metadata_mtt_normalized,3,0.18148955762915553,0.19015194661631818,0.10496909198283086
Metadata_mtt_normalized,4,0.18930835277894253,0.1841254335380173,0.10282607844297699
