Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.7140460910178121,0.057647733561839234,0.0359504423792618
Metadata_ldh_normalized,1,0.7070016085017538,0.05564290077671738,0.03584101812547199
Metadata_ldh_normalized,2,0.7301695096549168,0.05346375281052461,0.03538920655382153
Metadata_ldh_normalized,3,0.7519098327159641,0.051474381054787216,0.03476842760288138
Metadata_ldh_normalized,4,0.7304629745400727,0.05148259328033183,0.033997889935232124
Metadata_mtt_normalized,0,0.6703935800811827,0.12029343199761836,0.07297703482356654
Metadata_mtt_normalized,1,0.5967801953390777,0.12975400491344935,0.07802825010124809
Metadata_mtt_normalized,2,0.6490767397145926,0.12461748367857557,0.07615632558474628
Metadata_mtt_normalized,3,0.6569983538697799,0.1230939663089696,0.07586616177973951
Metadata_mtt_normalized,4,0.6466928355714379,0.12155201295709687,0.07397540503612644
