Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.41527555403505667,0.08243465870483549,0.046562532513966644
Metadata_ldh_normalized,1,0.39510718621710794,0.07994961136814337,0.04535119765315524
Metadata_ldh_normalized,2,0.38651597059867693,0.08061494454402131,0.0462625758492363
Metadata_ldh_normalized,3,0.4042607414307108,0.07976538533247339,0.04547131829226153
Metadata_ldh_normalized,4,0.43236462978857926,0.07471123646253848,0.04383297914034593
Metadata_mtt_normalized,0,0.06028341418802152,0.20311524949087115,0.11452978980238991
Metadata_mtt_normalized,1,0.0842670833310819,0.19553939030423143,0.11231801738923018
Metadata_mtt_normalized,2,0.06501587426924471,0.2034112733612934,0.11499897980928579
Metadata_mtt_normalized,3,0.06521785474368647,0.20320943474596642,0.11495250318901797
Metadata_mtt_normalized,4,0.07709070672228713,0.19645606586244743,0.11366719904781261
