Variable,Split,R²,RMSE,MAE
Metadata_ldh_ridge_norm,0,-0.001606361577956017,0.12735788860089026,0.07396176730238593
Metadata_ldh_ridge_norm,1,-6.853225584757539e-05,0.12130384657637325,0.0714398445056867
Metadata_ldh_ridge_norm,2,-0.00015773203743485453,0.1235098778152537,0.07347656020586747
Metadata_ldh_ridge_norm,3,-0.0010417830911952919,0.129179989411363,0.07373627647965737
Metadata_ldh_ridge_norm,4,-0.0005206290909938183,0.11410252368064148,0.0704343500990978
Metadata_mtt_ridge_norm,0,-0.00321354549961117,0.23251270833663878,0.145952111943888
Metadata_mtt_ridge_norm,1,-5.4725071644501355e-05,0.22026262449139433,0.14034408601257134
Metadata_mtt_ridge_norm,2,-0.002892236602626941,0.22960584515526225,0.14559869783479423
Metadata_mtt_ridge_norm,3,-0.0014818580665092451,0.23215380006886327,0.14449576577897794
Metadata_mtt_ridge_norm,4,-4.866480676901652e-05,0.2220194528367386,0.1426864786746247
