Variable,Split,R²,RMSE,MAE
Metadata_ldh_ridge_norm,0,0.6773691721117472,0.07228201397221204,0.0496217108815741
Metadata_ldh_ridge_norm,1,0.6478187053512632,0.07198513681490289,0.0498702902785754
Metadata_ldh_ridge_norm,2,0.6597908997375964,0.0720344769232469,0.04996893743396785
Metadata_ldh_ridge_norm,3,0.678300741131856,0.07323086638108281,0.04972268972376308
Metadata_ldh_ridge_norm,4,0.6532883512781021,0.06716862267211193,0.04707074461264859
Metadata_mtt_ridge_norm,0,0.7908407620983884,0.10616675091117175,0.060812267259787924
Metadata_mtt_ridge_norm,1,0.7415970555594034,0.11196380665248896,0.06174563968621812
Metadata_mtt_ridge_norm,2,0.7847205303388007,0.10637929616124844,0.06292905730860718
Metadata_mtt_ridge_norm,3,0.7832238769521955,0.10800900769655579,0.059820093938440747
Metadata_mtt_ridge_norm,4,0.7987297007476257,0.09960251553557475,0.05792842744555493
