Variable,Split,R²,RMSE,MAE
Metadata_ldh_ridge_norm,0,0.6644869654083152,0.07371095058059146,0.04477837413074444
Metadata_ldh_ridge_norm,1,0.5784228711655734,0.07875864078157639,0.04526142890426944
Metadata_ldh_ridge_norm,2,0.6500243956341997,0.07306112072289318,0.045729641188448536
Metadata_ldh_ridge_norm,3,0.6347996149394954,0.0780251757229405,0.046124413245782196
Metadata_ldh_ridge_norm,4,0.6882148505815495,0.06369567423954592,0.04125384321002401
Metadata_mtt_ridge_norm,0,0.7135956710190647,0.12423380594934345,0.07143573815364868
Metadata_mtt_ridge_norm,1,0.6388628612857903,0.13236251270286495,0.07368562588086307
Metadata_mtt_ridge_norm,2,0.7156155005945014,0.12226686188606602,0.07190618888138395
Metadata_mtt_ridge_norm,3,0.7396680097078332,0.1183635611329173,0.0676136415148636
Metadata_mtt_ridge_norm,4,0.7208964399233808,0.11729058405855515,0.06775714829991948
