Variable,Split,R²,RMSE,MAE
Metadata_ldh_ridge_norm,0,0.02467828014511564,0.12567568507373425,0.06966315855944068
Metadata_ldh_ridge_norm,1,0.06945960729536582,0.11701116582845424,0.0631521726591406
Metadata_ldh_ridge_norm,2,0.003984714137754364,0.12325383625601004,0.06927421829277863
Metadata_ldh_ridge_norm,3,0.11893365762181585,0.12119185907569105,0.06678633893419021
Metadata_ldh_ridge_norm,4,0.046165203114089004,0.11140862322472302,0.06468202704309821
Metadata_mtt_ridge_norm,0,0.027814410001260392,0.22888882566574228,0.13386390069958157
Metadata_mtt_ridge_norm,1,0.1278676582018914,0.20569328902528156,0.12271034343169146
Metadata_mtt_ridge_norm,2,0.08135782352094578,0.21975005655143504,0.13184018290918179
Metadata_mtt_ridge_norm,3,0.07477592198072047,0.22314014804046425,0.13120857068463299
Metadata_mtt_ridge_norm,4,0.07888255606331951,0.2130776823540134,0.12597932504586845
