Variable,Split,R²,RMSE,MAE
Metadata_ldh_ridge_norm,0,0.028592747478235814,0.12542323095411176,0.0686124638550084
Metadata_ldh_ridge_norm,1,0.01587424291513717,0.12033306835997086,0.06637622562394736
Metadata_ldh_ridge_norm,2,0.003281973432951557,0.12329730959243435,0.06919158989135712
Metadata_ldh_ridge_norm,3,0.04301126031558333,0.126305585354798,0.06915095292392541
Metadata_ldh_ridge_norm,4,0.0385571466106992,0.1118520541154192,0.0655663611611906
Metadata_mtt_ridge_norm,0,-0.044349514623967634,0.23723181733124757,0.14705799130989575
Metadata_mtt_ridge_norm,1,-0.03303528688474766,0.22386515744184432,0.14114218638673512
Metadata_mtt_ridge_norm,2,-0.025806745044498758,0.2322140966999694,0.14561197618942762
Metadata_mtt_ridge_norm,3,-0.029381793721056315,0.2353653325631258,0.14495208012479252
Metadata_mtt_ridge_norm,4,-0.02033626654770626,0.22426015734221869,0.14402143150003696
