OASIS_ID,Compound_name,Assay_Endpoint,POD_um,POD_um_l,POD_um_u
OASIS007,Nitrofurazone,cc,9.142222012993637,9.005983543301165,9.27709098869959
OASIS188,Maropitant,cc,21.21298827124924,20.648586093784083,21.78160296663645
OASIS1788,Nifurtimox,cc,46.92446818828071,46.336891688078936,47.503374141452035
,Compound_e48ed218,cc,0.044182797727821445,0.043664965026907886,0.04469881092878122
OASIS1455,Gefitinib,cc,30.57477776257356,30.37820294210731,30.767672182917554
OASIS1910,Vilazodone (Hydrochloride),cc,58.08243998188891,56.884211146628466,59.275572303368826
OASIS1091,Calcitriol,cc,79.46017547408742,78.17073616810617,80.73782984299608
OASIS812,Nefazodone,cc,79.04849931422093,78.13925011812802,79.94318584598467
OASIS1045,Furazolidone,cc,41.25888418514206,40.69697811483245,41.81408180100137
OASIS143,Axitinib,cc,23.951872842792998,22.87436540305345,25.059232331002182
OASIS807,Indocyanine green,cc,77.22760369423496,76.44698632740948,77.99595507564956
OASIS540,"N,N-Dicyclohexylcarbodiimide(DCC)",cc,18.93773254377101,18.323681933965748,19.567545598366923
,Compound_5b75fe17,cc,80.39550439633982,78.09210654034315,82.70763291914903
OASIS1396,Apomorphine,cc,43.77664467305937,43.0051216973731,44.54265927924984
OASIS1098,Digoxin,cc,0.13607117612406094,0.13385892773700492,0.13827731447669384
OASIS1957,Alpelisib,cc,31.30614757902067,31.00976971086421,31.602559080989646
,Compound_fee2a120,cc,31.7902559793591,31.527162583763868,32.04897914964276
,Compound_4850ff1d,cc,14.407223640725787,14.264544461775749,14.547595358300946
OASIS1917,Fedratinib (hydrochloride hydrate),cc,11.714926250074932,11.66392567237066,11.764967796843775
OASIS492,Difenoconazole,cc,71.81139634893665,71.3659438732409,72.24778042195344
OASIS104,Puromycin aminonucleoside,cc,17.2699094222096,16.62744447169491,17.92385352722366
OASIS1883,Maralixibat (chloride),cc,93.75801477218491,92.6795326243822,94.82104976196442
OASIS1817,Carfilzomib,cc,2.5279446872470586,2.5163443863575083,2.539333642658824
OASIS1238,Saquinavir,cc,40.49850678552727,40.22473958630301,40.76697510431449
OASIS1770,Bosutinib (hydrate),cc,7.120677552890214,6.825590975984289,7.423156812469587
OASIS249,Benzethonium (chloride),cc,11.212924521011443,10.793503910352538,11.644769864504275
OASIS201,SSR240612,cc,18.55946016208999,18.296128556862737,18.81965961513007
OASIS957,Telithromycin,cc,93.80951828203791,90.20785961405713,97.47968588095739
OASIS023,Chlorpromazine,cc,33.51066201997187,33.21443504225253,33.80189536275551
OASIS1204,Droperidol,cc,81.43715366147549,79.83585567340438,83.03163792910487
OASIS573,"N-Decyl-N,N-dimethyldecan-1-aminium (chloride)",cc,27.687611571387993,27.25550907220672,28.115101986364635
OASIS656,Docetaxel,cc,84.11862405402913,82.83534868189416,85.3893426114198
OASIS1024,Phentolamine,cc,87.37185908654827,83.9114112291076,90.88847347509255
OASIS1729,Entrectinib,cc,10.543803322617064,10.44554234202164,10.640428074314439
,Compound_2aa3c71f,cc,12.680984403002537,12.259857392791142,13.113069188892391
OASIS977,Silodosin,cc,67.0668982343541,63.87588238911132,70.35595110475411
OASIS1858,Trilaciclib,cc,82.7907967101125,81.80860217198808,83.75933240678687
OASIS1639,Pararosaniline (hydrochloride),cc,7.762422240899635,7.6968316924773,7.827037684818406
OASIS066,Nitrofurantoin,cc,23.818854787013656,23.56737096944336,24.066321529936033
OASIS1473,Lopinavir,cc,19.599168852088994,18.195443910953898,21.087079291145347
