target_set,overlap_size,target_set_size,hit_list_size,universe_size,p_value,overlap_hits,fdr
LGALS4,2,46,138,13176,0.08363703494617729,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
DACH1,0,61,138,13176,1.0,"",1.0
OSTM1,0,16,138,13176,1.0,"",1.0
HLA-DQB1,3,178,138,13176,0.28618152046736794,"Amoxicillin_3.82_A01_plate_41002896,Ketoprofen_3.82_K03_plate_41002897,Metronidazole_3.34_L15_plate_41002889",1.0
GRPR,4,414,138,13176,0.6343314481561496,"Cyproheptadine_3.82_F03_plate_41002897,Phentolamine_3.82_N16_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Chlorpromazine_3.82_B03_plate_41002878",1.0
CDKN1B,2,331,138,13176,0.8653155271855966,"Metformin_3.34_J22_plate_41002701,Melatonin_3.82_D16_plate_41002692",1.0
SKI,1,61,138,13176,0.47467216633255205,Disulfiram_3.82_I17_plate_41002692,1.0
NR4A2,0,30,138,13176,1.0,"",1.0
COPS7A,0,32,138,13176,1.0,"",1.0
IDH3A,1,92,138,13176,0.6216857415195591,Glycerol_3.34_P22_plate_41002889,1.0
ATP6V1A,0,61,138,13176,1.0,"",1.0
BBX,0,31,138,13176,1.0,"",1.0
ELOB,2,64,138,13176,0.14466559504494306,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
DYNC1H1,0,31,138,13176,1.0,"",1.0
ACBD7,0,47,138,13176,1.0,"",1.0
CUTC,1,30,138,13176,0.27109701643053735,Cyclosporin A_3.34_P19_plate_41002701,1.0
PIK3CA,2,150,138,13176,0.46769829105747346,"Metformin_3.34_J22_plate_41002701,Glycerol_3.34_P22_plate_41002889",1.0
TACSTD2,0,89,138,13176,1.0,"",1.0
ZNF503,0,45,138,13176,1.0,"",1.0
NOX4,1,136,138,13176,0.7629171153202461,Erlotinib_1.43_J23_plate_41002703,1.0
BMPR1A,0,32,138,13176,1.0,"",1.0
KLHL29,0,61,138,13176,1.0,"",1.0
PPARGC1B,0,61,138,13176,1.0,"",1.0
MGST3,0,16,138,13176,1.0,"",1.0
PLK4,0,156,138,13176,1.0,"",1.0
SLC23A2,0,62,138,13176,1.0,"",1.0
