target_set,p_value,fdr,overlap_size,target_set_size,overlap_hits
MAPK9,1.7519365589605117e-10,1.5518654039272212e-6,11,75,"Fostamatinib_11.0_J18_plate_41002879,Tamoxifen_100.0_F23_plate_41002896,Bortezomib_0.0456431545317173_B22_plate_41002949,Cyclosporin A_11.0_J15_plate_41002880,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Fostamatinib_11.0_L09_plate_41002950,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882,Fostamatinib_33.5_J22_plate_41002957"
PSMB5,5.809134785285071e-10,1.7152438642685054e-6,9,46,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Ixazomib_3.5_M08_plate_41002689,Ixazomib_0.4107883870601654_A22_plate_41002703,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882,Ixazomib_1.0_L09_plate_41002907"
ABL1,3.906003322587633e-10,1.7152438642685054e-6,19,321,"Brigatinib_1.0_M23_plate_41002959,Panobinostat_3.5_G09_plate_41002885,Bortezomib_0.1369294673204422_K13_plate_41002952,Panobinostat_0.0456431545317173_M23_plate_41002691,Erlotinib_100.0_I18_plate_41002692,Dasatinib_0.1369294673204422_A18_plate_41002699,Bortezomib_1.0_F15_plate_41002958,Afatinib_3.5_F02_plate_41002688,Fostamatinib_33.5_J22_plate_41002957,Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.4107883870601654_O21_plate_41002945,Erlotinib_33.5_J06_plate_41002889,Bortezomib_1.0_M19_plate_41002882,Fostamatinib_11.0_J18_plate_41002879,Erlotinib_100.0_G14_plate_41002878,Brigatinib_11.0_K11_plate_41002950,Erlotinib_11.0_G14_plate_41002880,Fostamatinib_11.0_L09_plate_41002950,Bortezomib_0.0456431545317173_N01_plate_41002883"
FLT3,3.047796864610185e-8,0.00006749346156679254,13,182,"Fostamatinib_11.0_J18_plate_41002879,Brigatinib_1.0_M23_plate_41002959,Brigatinib_11.0_K11_plate_41002950,Nintedanib_33.5_K18_plate_41002701,Fostamatinib_33.5_J22_plate_41002957,Ceritinib_11.0_G21_plate_41002951,Erlotinib_11.0_G14_plate_41002880,Fostamatinib_11.0_L09_plate_41002950,Gilteritinib_2.200000047683716_M09_plate_41002951,Erlotinib_33.5_J06_plate_41002889,Ceritinib_11.0_P05_plate_41002880,Erlotinib_100.0_I18_plate_41002692,Erlotinib_100.0_G14_plate_41002878"
RND3,4.6107207900772245e-8,0.0000816835295170081,9,74,"Bortezomib_0.0456431545317173_B22_plate_41002949,Cyclosporin A_11.0_J15_plate_41002880,Panobinostat_3.5_G09_plate_41002885,Bortezomib_0.1369294673204422_K13_plate_41002952,Panobinostat_0.0456431545317173_M23_plate_41002691,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
ERN1,6.563131382571269e-8,0.0000968936963113605,9,77,"Bortezomib_0.0456431545317173_B22_plate_41002949,Fostamatinib_33.5_J22_plate_41002957,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Fostamatinib_11.0_L09_plate_41002950,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882,Fostamatinib_11.0_J18_plate_41002879"
CALR,4.203065448785611e-7,0.000372676991292993,6,30,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
HIKESHI,6.310854447273532e-7,0.000372676991292993,6,32,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
DAPK2,3.7540482067942477e-7,0.000372676991292993,9,94,"Bortezomib_0.0456431545317173_B22_plate_41002949,Fostamatinib_33.5_J22_plate_41002957,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Fostamatinib_11.0_L09_plate_41002950,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882,Fostamatinib_11.0_J18_plate_41002879"
RPS7P5,6.310854447273532e-7,0.000372676991292993,6,32,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
