target,mode,count
GABRD,unspecified,155
BRD3,Negative,4
ASB10,Positive,1
PLEKHF1,Positive,1
IARS,unspecified,1
APOBEC1,unspecified,1
DUSP6,unspecified,26
NFXL1,Positive,1
LGALS8,Negative,1
NPBWR1,Negative,2
HTR2,unspecified,5
MAP2K5,Negative,5
GABA A Alpha5m8Beta2Gamma2,unspecified,2
TH,unspecified,6
PRKG1,unspecified,62
PAK3,unspecified,71
CSRP2,unspecified,1
DNAJC17,Positive,1
ARAF,Negative,2
CEBPB,Negative,2
CYP3A11,Positive,2
C1R,Negative,1
WNT3,Negative,1
ANXA3,unspecified,1
FBP2,Positive,1
MBTPS1,Positive,1
MCAT,Positive,1
GRM8,Positive,8
GJB7,Negative,4
HSPA1L,unspecified,1
CCKAR,unspecified,759
CAMKK1,Negative,48
OPRD1,unspecified,866
Fe(II)-protoporphyrin IX adduct,unspecified,1
GRM4,Negative,10
CHRM3,Negative,86
CACNA2D4,Negative,2
KLK1B24,Positive,1
FABP7,unspecified,1
LOC400927-CSNK1E,unspecified,67
NGFR,Negative,2
ECI2,Positive,1
IKBKB,Positive,1
TRAP1,unspecified,4
protoglandin synthase inhibitor,unspecified,1
microtubule-organizing inhibitor,unspecified,1
RET,Negative,146
ACR,Negative,2
"Cholinergic, Nicotinic Alpha3Beta4",unspecified,14
RAI2,unspecified,1
SMAD4,Negative,1
NDUFAF4,Negative,2
INHBB,Positive,1
P2RY10,Positive,1
PTGS1,Positive,10
C5AR1,Negative,3
CYB5A,unspecified,2
PSMB1,unspecified,1
"Acetylcholinesterase, AChE",unspecified,2
Calcium channel (Type L),unspecified,2
RTKN,unspecified,1
RNA-directed DNA polymerase,unspecified,2
TERT,unspecified,3
WRN,Negative,419
HSD17B10,Negative,1206
SPRR2G,unspecified,1
NPY4R,unspecified,1
Serine/threonine kinase 18,unspecified,13
ALDH1A1,unspecified,10
RPA1,Negative,1
REL,Negative,2
SREBF1,Negative,1
CD207,unspecified,1
CASP1,Positive,2
BIRC3,unspecified,4
TK inducer,unspecified,2
GCK,Negative,2
MECP2,unspecified,2
PTGER2,Negative,10
PACSIN2,unspecified,3
p38,unspecified,1
PON1,Negative,2
PRKG2,unspecified,62
TRPM4,unspecified,2
DNMT3A,Negative,9
ALKBH5,Negative,1
Ion channel Na,unspecified,20
FANCM,unspecified,1
GSN,unspecified,1
RBM12,Positive,1
SLITRK4,unspecified,1
CCR1,Positive,16
DRD3,unspecified,925
HIF,unspecified,6
PRKCI,Positive,1
CTHRC1,Positive,1
C8ORF46,unspecified,1
ABHD2,Positive,1
SREBF2,unspecified,2
FolC,unspecified,1
AMPAR,unspecified,2
FADS1,Positive,1
RRP1B,Positive,1
HSD17B2,Positive,1
RAD51,Positive,1
DDIT3,unspecified,43
PLA2G1B,unspecified,14
NDUFS8,Negative,2
PITX1,unspecified,1
LIMCH1,unspecified,1
CTSD,unspecified,3
HTT,unspecified,706
DRD1,Positive,273
CA13,unspecified,9
NRP1,unspecified,1
tubulin,unspecified,20
D-alanine-D-alanine ligase,unspecified,1
Wnt/beta-catenin,unspecified,8
c-FMS,unspecified,1
VPS35,unspecified,1
PLA2G2D,Negative,1
Somatostatin receptor,unspecified,1
TYK2,unspecified,66
EEF1E1,unspecified,1
RNF220,Positive,1
lipolysis,unspecified,1
CHRNA10,unspecified,18
PB1,unspecified,1
CACNA1T,unspecified,3
carbonic anhydrase,unspecified,21
SPHAR,unspecified,1
GRIN1,Negative,88
ME3,Negative,3
MTNR1B,Negative,18
PRKCQ,Negative,126
melatonin receptor,unspecified,2
TK,Negative,5
P2R,unspecified,5
GABRB3,unspecified,173
ITGB2,unspecified,9
ARNTL,Positive,1
sirtuin,unspecified,1
DOT1L,unspecified,1
PLA2G2D,unspecified,1
SLC1A5,unspecified,1
PNCK,Negative,1
SLC51A,unspecified,3
RBBP8,unspecified,1
CAT,unspecified,10
PURH,unspecified,1
S1PR2,Positive,8
TGFBR1,unspecified,71
PURA,unspecified,1
BGLAP,Negative,1
Ergosterol,unspecified,1
SHMT1,Negative,1
MAPK8,Positive,5
CBSL,Negative,1
CTF1,unspecified,1
ELOVL3,Negative,1
CD40LG,Negative,3
P4HTM,Negative,1
NDRG2,unspecified,2
CNR2,Positive,43
PRKAA1,Negative,119
COX-1,unspecified,41
DHFR,Negative,181
RRM1,unspecified,4
CST6,unspecified,1
AKT1,unspecified,86
GPX8,unspecified,1
POR,Positive,2
Opiod receptors [ OPRL1 OPRM1 OPRK1 OPRD1 ],unspecified,1
SLC23A2,unspecified,2
TRPV2,Positive,13
MAPK11,Positive,2
KCNJ5,Positive,6
SENP6,unspecified,1
ESRRB,unspecified,4
SGMS2,Positive,1
SOAT2,Negative,5
MELK,Negative,141
GOPC,unspecified,1
ATM/ATR,unspecified,6
OSM,Positive,1
RTK,unspecified,1
