target,mode,count
DHRS11,Positive,1
SLC45A3,Positive,1
ALDH1A3,unspecified,1
CTSH,Negative,3
Carbohydrate,unspecified,2
ADRA1D,Negative,51
GPR35,unspecified,7
RDH12,unspecified,1
AXIN2,Positive,1
NCF2,unspecified,1
LOC100911581,unspecified,1
Dopa decarboxylase,unspecified,1
KCNJ2,Negative,6
AKR1B10,Positive,1
ACVR2B,unspecified,60
TRPC4,unspecified,7
CAMKK1,unspecified,68
detergent,unspecified,1
SMAD2,Negative,1
ADH4,Negative,1
ULK3,unspecified,62
ASAH1,Negative,1
ORAI3,Positive,1
AKR1C3,unspecified,2
SREBF1,Negative,1
ZDHHC18,Positive,1
BLMH,Positive,1
BET bromodomain,unspecified,1
MPST,Positive,1
NRG1,Positive,2
P2RX1,Negative,2
INTS4,Positive,1
SYNJ1,unspecified,1
ZFPM2,unspecified,1
PL,unspecified,6
NAA50,Positive,1
NEK1,Negative,5
UGT1A10,unspecified,65
NR2C2,Positive,2
TTLL5,Positive,1
P2RY4,Positive,5
CASP,unspecified,2
HDAC7,Positive,2
RFTN2,unspecified,1
PRSS1,unspecified,4
TRPC7,Negative,2
GABRE,unspecified,8
POLB,Negative,172
GRM7,Negative,4
PDE6D,unspecified,2
PRUNE1,Negative,1
CAMKK2,Negative,42
CAR2,Negative,1
XRCC6,Negative,1
CHRNA4,unspecified,31
TNF-alpha,unspecified,8
CCDC160,Positive,1
EGLN2,Negative,2
BCL2L1,Positive,3
KMO,Negative,1
ITGA2,Negative,2
KDM4C,Negative,9
SV2A,Negative,1
RGS7,unspecified,2
CD3E,Negative,2
APP,Positive,5
CYP2B6,Negative,75
Folate Analogue,unspecified,1
STK26,Negative,5
STAT6,unspecified,11
CIRBP,unspecified,1
ER antagonist,unspecified,1
TRP Channel,unspecified,2
KBTBD11,Positive,1
ACADM,Positive,1
STK24,Negative,60
MLPH,unspecified,1
KCNA5,Negative,15
SVAT,unspecified,1
rplJ,Negative,4
TLK1,unspecified,64
NR1I3,Negative,25
MMP1,Negative,650
RELB,Positive,1
RASGRP1,Positive,1
MAPK3,Negative,713
MCL1,Negative,15
MBTPS1,Positive,1
TRPC3,Negative,2
CCR8,unspecified,3
POLE,Negative,5
NOS3,unspecified,11
EGR1,unspecified,1
KLK,unspecified,1
SMOX,unspecified,2
SPTBN2,Positive,1
CHRNB3,Positive,1
KCNB1,Negative,10
URAT1,unspecified,1
UGT2B28,unspecified,5
ADH1C,unspecified,2
CK1,unspecified,1
SHC1,unspecified,2
SORBS3,Positive,1
plants respiratory kinase,unspecified,1
SLCO1A1,Negative,46
KIF3C,Negative,2
GRAMD2B,unspecified,1
SKP1,unspecified,1
AOLX5 inhibitor,unspecified,1
SMO,Negative,8
ATP1A4,unspecified,1
HSPB1,unspecified,4
LPXN,Positive,1
KIF11,unspecified,1
NCOA1,Negative,8
PRKAR2B,Negative,1
PIK3CG,unspecified,59
RGS8,Negative,1
BCL2L13,Positive,1
CSTA,Positive,1
Monoamine Oxidase A,unspecified,2
CACNG8,Negative,2
SMPD1,Negative,155
KCNJ3,Negative,1
HNMT,unspecified,2
HSPB1,Positive,405
ALPPL2,Positive,8
AADAC,Positive,1
C3ORF70,unspecified,1
DAPK1,Positive,1
CARS2,Positive,1
FRMD6,Positive,1
ROCK1,Negative,76
NOS ,unspecified,1
PDK2,unspecified,1
H6PD,unspecified,1
OSBPL5,unspecified,1
GABRR2,Negative,4
PGD,unspecified,3
ITGB1,Positive,1
STK36,unspecified,64
XOR,unspecified,2
FOXO3,unspecified,3
SENP1,Negative,1
DTYMK,Negative,4
DAGLA,Negative,5
Na+/K+-ATPase,unspecified,1
CA5B,Negative,69
FGF19,Positive,3
TUBB2A,unspecified,8
PRL,unspecified,2
