target,mode,count
PNPLA8,Positive,1
EPHA3,unspecified,15
CD40,Negative,1
LGALS3,unspecified,1
RPS6KB1,unspecified,13
VEGFR2,unspecified,4
ABHD16A,Negative,1
ABAT,Positive,1
AKR1C1,Positive,1
5-HT7b,unspecified,3
SLFN13,Positive,1
AVPR1A,unspecified,372
ADRA2C,Positive,8
NTRK2,Negative,2
CMKLR1,unspecified,1
ILK,unspecified,1
SOD3,unspecified,2
CACNA1A,unspecified,4
FUT4,unspecified,1
EPHA7,unspecified,15
PLK3,Negative,1
KCNA7,unspecified,1
IL6,Negative,1
FAM126A,Positive,1
TFAP2A,Positive,2
EDN1,Negative,2
MAP3K11,unspecified,13
ZNF114,unspecified,1
PIK3IP1,unspecified,1
CA5A,unspecified,1
IFIT3,unspecified,1
GPR171,Positive,1
VDR,Positive,58
STK25,unspecified,15
RPS6KA3,unspecified,16
POLE,Negative,3
CYP2E1,Negative,377
TBXAS1,Positive,1
PCYT1B,unspecified,1
APH1B,Negative,6
HSD17B2,Negative,1
EPHB2,Negative,1
BCL2L1,unspecified,4
SKIL,unspecified,1
EPHA6,unspecified,15
SP1,unspecified,4
MAOB,Positive,1
PPIA,Negative,3
VB2,unspecified,1
SPG7,unspecified,1
CROT,Positive,1
GPHN,Positive,1
FOXA3,unspecified,1
NPTX2,unspecified,1
SOX9,Positive,1
SULT1A1,Negative,2
HTR5A,unspecified,21
SPTY2D1,unspecified,1
"butyrylcholinesterase, BuChE",unspecified,1
CACNA2D1,Positive,1
FASLG,unspecified,3
LTB4R,Positive,1
ANXA8L1,unspecified,1
KDM1B,Negative,1
AGPAT3,Positive,1
PIK3CD,Negative,6
MAP3K9,unspecified,13
estrogen beta,unspecified,1
CTNNB1,unspecified,4
STIL,Positive,1
endothelin receptor,unspecified,1
ABCC3,unspecified,7
MAB21L2,Positive,1
PGBD5,Positive,1
NDUFS6,Negative,2
ABCG2,unspecified,7
FGA,Positive,1
DGAT2,unspecified,1
PDE9A,Negative,2
PDXK,Negative,1
CHRNA3,Negative,2
TAS1R3,unspecified,1
GP9,unspecified,1
KCNK3,Negative,4
SCN7A,Negative,28
NR1H4,unspecified,4
AFF1,unspecified,1
LAS1L,Positive,1
ENPP4,Positive,1
MPHOSPH8,Negative,92
Substance P,unspecified,3
GLRB,Negative,1
RARA,Negative,5
SRRM1,Positive,1
CRHR1,Negative,1
SLC25A1,Positive,1
ZMAT2,unspecified,1
BMP6,Negative,1
HSD17B14,unspecified,1
SULT2A1,unspecified,4
ERG11,Negative,5
DGKH,Positive,1
UGT1A10,unspecified,31
VCAM1,Negative,1
GRPEL1,Positive,1
ZFAND2A,Positive,1
KCNC1,Negative,4
PRSS55,Positive,1
TMTC2,Positive,1
MKNK2,Negative,2
alkylating agent,unspecified,1
SLC29A1,Negative,2
DOT1L,Negative,1
EPHA1,Negative,2
NDUFAF3,Negative,2
AMZ1,Positive,1
pbp1b,Negative,1
GABRQ,Positive,11
CDKN2AIP,unspecified,1
CDK5R1,unspecified,1
VK,unspecified,1
influenza A M2 proton channel,unspecified,1
"Cholinergic, Nicotinic Alpha3Beta4x",unspecified,1
FAM210A,unspecified,1
ITK,Negative,2
HIST1H3J,unspecified,1
TRPV,unspecified,2
IL12A,unspecified,8
SLC16A10,Negative,6
ATP4A,unspecified,4
prothrombin,unspecified,1
GALE,Negative,1
KCNC2,unspecified,1
CDCA7,Positive,1
FYN,unspecified,15
"Platelet-derived growth factor receptor, alph",unspecified,1
XPC,Positive,1
GATA2,unspecified,3
DOPAMINE D4.4,unspecified,4
Motilin,unspecified,1
SPINT2,Positive,1
MMP1,Negative,370
BGLAP,Negative,1
SLC5A2,Negative,2
RGS7,Negative,1
FGF1,Positive,1
TRPV4,Positive,1
SHC1,unspecified,1
GPER1,unspecified,2
GPR1,unspecified,1
BRF2,unspecified,1
AKR1C1,unspecified,2
FOXO3,Positive,1
CCR2,unspecified,368
GNRHR,unspecified,3
CST11,Positive,1
VRTN,Positive,1
iron,unspecified,3
DLC1,Positive,1
camC,unspecified,1
FGFR3,Negative,6
PDE1B,Positive,1
HCCS,Positive,1
AHAS,unspecified,1
BLM,Negative,135
SLCO4A1,Negative,2
RAB11FIP2,Positive,1
EPHB4,Negative,1
HTR6,Positive,1
TMEM144,Positive,1
ABCC8,unspecified,12
PLA2G1B,Positive,1
ADPRHL2,Positive,1
radh,unspecified,1
JAG2,unspecified,1
HCK,unspecified,15
KCNH2,unspecified,380
ABCC5,Negative,5
CDK2,Positive,2
XK,Positive,1
FDFT1,Negative,5
ABHD15,Positive,1
TCHP,Positive,1
Fe(II)-protoporphyrin IX,unspecified,1
CECR6,unspecified,1
PTGIR,Positive,1
CTSH,Negative,1
Glutamate-Kainate,unspecified,3
SULT1B1,Positive,1
PDE5A,unspecified,6
GCNA,unspecified,1
PBLD,Positive,1
TUBA1C,unspecified,5
ALAD,Negative,1
NRI,unspecified,1
IL12B,unspecified,8
ABHD2,Positive,1
SRPK2,unspecified,13
PCNA,unspecified,1
PRSS1,Negative,12
PHLPP2,Positive,1
GSR,unspecified,1
ZBP1,Positive,1
LIPE,Positive,1
DCK,Negative,3
UGDH,unspecified,1
XRCC5,unspecified,1
TMCO2,Positive,1
GLUD1,unspecified,1
histamine,unspecified,1
HDAC2,Negative,27
EHMT2,Negative,368
LTK,unspecified,13
KRT75,unspecified,1
FOXN2,Positive,1
ABL1,Negative,11
CDK1,unspecified,1
NUP214,Positive,1
EPHA1,unspecified,13
MC3R,unspecified,368
ERMP1,Positive,1
HCN3,Negative,1
HPN,Negative,2
IL18,unspecified,3
HTR1A,Negative,19
AMPK,unspecified,3
SPIRE2,unspecified,1
ZBTB5,unspecified,1
GUSB,Negative,1
"Glycine, strychnine",unspecified,3
RAB5C,Positive,1
TFAP2C,unspecified,1
TF,Positive,1
RCE1,Negative,2
SREBF2,Positive,1
CAR13,unspecified,7
KANK1,Positive,1
CACNA2D1,Negative,3
TESK1,unspecified,13
NMDA,unspecified,2
TMEM135,Positive,1
UGT2A1,Negative,1
JUND,unspecified,1
SYTL4,Positive,1
CCNG2,Positive,1
ATP4A,Negative,8
GUCY1B3,Positive,1
PRKACA,unspecified,16
PRODH2,Positive,1
NT,unspecified,5
NIACR1,Negative,1
GABBR2,unspecified,3
EYA1,Positive,1
HCK,Negative,4
FAM172A,Positive,1
KDM4E,Negative,155
PIR,Positive,1
ESRRG,Positive,3
TSSK1B,unspecified,13
DRD1,unspecified,401
CYP46A1,unspecified,1
HTR7,Positive,3
SLC22A5,unspecified,1
POLK,Negative,78
CLDN3,Positive,1
ADORA3,Positive,2
