INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID7022544,DSSTox_Substance_Id,DTXSID7022544,Acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
DTXSID50471529,DSSTox_Substance_Id,DTXSID50471529,"N-[3-(2,4-dichlorophenoxy)pyridin-4-yl]methanesulfonamide",CS(=O)(=O)NC1=C(OC2=C(Cl)C=C(Cl)C=C2)C=NC=C1
DTXSID00445553,DSSTox_Substance_Id,DTXSID00445553,2-chloro-1-fluoro-4-[2-(4-methylsulfonylphenyl)phenyl]benzene,CS(=O)(=O)C1=CC=C(C=C1)C1=CC=CC=C1C1=CC(Cl)=C(F)C=C1
DTXSID0024266,DSSTox_Substance_Id,DTXSID0024266,Pirimiphos-methyl,CCN(CC)C1=NC(OP(=S)(OC)OC)=CC(C)=N1
DTXSID60573624,DSSTox_Substance_Id,DTXSID60573624,"4-[4-(4-Fluorophenyl)-5-oxo-2,5-dihydrofuran-3-yl]benzene-1-sulfonamide",NS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=C(F)C=C1
DTXSID30445541,DSSTox_Substance_Id,DTXSID30445541,4-(4-fluorophenyl)-3-(4-methylsulfonylphenyl)-2H-furan-5-one,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=C(F)C=C1
DTXSID40426422,DSSTox_Substance_Id,DTXSID40426422,(-)-carprofen,C[C@@H](C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1
DTXSID80184832,DSSTox_Substance_Id,DTXSID80184832,Arabinofuranosyluracil,OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
DTXSID70349877,DSSTox_Substance_Id,DTXSID70349877,(+)-carprofen,C[C@H](C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1
DTXSID80469656,DSSTox_Substance_Id,DTXSID80469656,4-[1-(4-chlorophenyl)benzimidazol-2-yl]benzenesulfonamide,NS(=O)(=O)C1=CC=C(C=C1)C1=NC2=CC=CC=C2N1C1=CC=C(Cl)C=C1
DTXSID60157009,DSSTox_Substance_Id,DTXSID60157009,Methyl 3-hydroxybenzo(b)thiophene-3-carboxylate,COC(=O)C1=C(O)C2=CC=CC=C2S1
DTXSID10658273,DSSTox_Substance_Id,DTXSID10658273,5-Chloro-3-(4-ethylphenyl)-2-[4-(methanesulfonyl)phenyl]-4H-pyran-4-one,CCC1=CC=C(C=C1)C1=C(OC=C(Cl)C1=O)C1=CC=C(C=C1)S(C)(=O)=O
DTXSID90658271,DSSTox_Substance_Id,DTXSID90658271,3-(4-Fluorophenyl)-2-[4-(methanesulfonyl)phenyl]-4H-pyran-4-one,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)C=CO1)C1=CC=C(F)C=C1
DTXSID40211274,DSSTox_Substance_Id,DTXSID40211274,alpha-Viniferin,OC1=CC=C(C=C1)[C@H]1OC2=C3[C@@H]1C1=CC(O)=CC4=C1[C@H]([C@@H](O4)C1=CC=C(O)C=C1)C1=CC(O)=CC4=C1[C@H]([C@@H](O4)C1=CC=C(O)C=C1)C3=CC(O)=C2
