,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,smiles
2050,22550,DTXSID90410134,DSSTox_Substance_Id,DTXSID90410134,MLS002920709,CC1=C(C)C=C(NC(=S)NNC(=S)NNC2=CC=CC=C2)C=C1
2051,22551,DTXSID70364646,DSSTox_Substance_Id,DTXSID70364646,"5-(allylamino)-1,3,4-thiadiazole-2-thiol",C=CCNC1=NNC(=S)S1
2052,22552,DTXSID30351052,DSSTox_Substance_Id,DTXSID30351052,"6-(4-Methoxyphenyl)-4,5-dihydropyridazin-3(2H)-one",COC1=CC=C(C=C1)C1=NNC(=O)CC1
2053,22553,DTXSID80300393,DSSTox_Substance_Id,DTXSID80300393,"methyl 6,7-dimethoxynaphthalene-2-carboxylate",COC(=O)C1=CC2=CC(OC)=C(OC)C=C2C=C1
2054,22554,DTXSID40278423,DSSTox_Substance_Id,DTXSID40278423,MLS002637999,COC1=C(OC)C=C2C3C4=C(OCC3(O)CC2=C1)C(OC)=C(OC)C=C4
2055,22555,DTXSID50291087,DSSTox_Substance_Id,DTXSID50291087,2-amino-3-bromo-7-fluoro-9h-fluoren-9-ol,NC1=C(Br)C=C2C(=C1)C(O)C1=C2C=CC(F)=C1
2056,22556,DTXSID40289791,DSSTox_Substance_Id,DTXSID40289791,"2,3-Diphenyl-4(3H)-quinazolinone",O=C1N(C2=CC=CC=C2)C(=NC2=CC=CC=C12)C1=CC=CC=C1
2057,22557,DTXSID10343319,DSSTox_Substance_Id,DTXSID10343319,ethyl 3-methylquinoxaline-2-carboxylate,CCOC(=O)C1=NC2=CC=CC=C2N=C1C
2058,22558,DTXSID40285394,DSSTox_Substance_Id,DTXSID40285394,n-benzyl-3-chloro-2-phenylpropan-1-amine,ClCC(CNCC1=CC=CC=C1)C1=CC=CC=C1
2059,22559,DTXSID1067831,DSSTox_Substance_Id,DTXSID1067831,"3H-Pyrazol-3-one, 2,4-dihydro-5-[(4-nitrophenyl)amino]-2-(2,4,6-trichlorophenyl)-",[O-][N+](=O)C1=CC=C(NC2=NN(C(=O)C2)C2=C(Cl)C=C(Cl)C=C2Cl)C=C1
2060,22560,DTXSID90194861,DSSTox_Substance_Id,DTXSID90194861,"Dimethyl 4,4'-(1,2-ethanediylbis(oxy))bisbenzoate",COC(=O)C1=CC=C(OCCOC2=CC=C(C=C2)C(=O)OC)C=C1
2061,22561,DTXSID00677155,DSSTox_Substance_Id,DTXSID00677155,Potassium trifluoro{[(4-methoxyphenyl)methoxy]methyl}borate(1-),[K+].COC1=CC=C(COC[B-](F)(F)F)C=C1
2062,22562,DTXSID10166909,DSSTox_Substance_Id,DTXSID10166909,"Phenol, 4-bromo-2-(5,6-dihydroimidazo(2,1-b)thiazol-3-yl)-, monohydrochloride",Cl.OC1=C(C=C(Br)C=C1)C1=CSC2=NCCN12
