,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,OC(=O)C1CCCN1C1=C(C=CC=N1)[N+]([O-])=O,O=C(O)C1CCCN1c1ncccc1[N+](=O)[O-],"InChI=1S/C10H11N3O4/c14-10(15)8-4-2-6-12(8)9-7(13(16)17)3-1-5-11-9/h1,3,5,8H,2,4,6H2,(H,14,15)",RQFITJCVQDONTL-UHFFFAOYSA-N,23175,DTXSID30377575,DSSTox_Substance_Id,DTXSID30377575,1-(3-Nitropyridin-2-yl)proline
1,CC(C)N1C=C(C(N)=NO)C(=O)N(CC2=CC=CC=C2)C1=O,CC(C)n1cc(C(N)=NO)c(=O)n(Cc2ccccc2)c1=O,"InChI=1S/C15H18N4O3/c1-10(2)18-9-12(13(16)17-22)14(20)19(15(18)21)8-11-6-4-3-5-7-11/h3-7,9-10,22H,8H2,1-2H3,(H2,16,17)",AJBWQWDJFIRUNT-UHFFFAOYSA-N,23176,DTXSID50384908,DSSTox_Substance_Id,DTXSID50384908,"3-benzyl-N'-hydroxy-1-isopropyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidine-5-carboximidamide"
2,COC1=CC2=C(C=C1)C(CN1CCCCC1)=CC(=O)O2,COc1ccc2c(CN3CCCCC3)cc(=O)oc2c1,"InChI=1S/C16H19NO3/c1-19-13-5-6-14-12(9-16(18)20-15(14)10-13)11-17-7-3-2-4-8-17/h5-6,9-10H,2-4,7-8,11H2,1H3",MVEBUQZAMDFAAK-UHFFFAOYSA-N,23177,DTXSID90365130,DSSTox_Substance_Id,DTXSID90365130,MLS003314814
3,CC(=O)N1C2=C(SC3=C1C=CC1=CC=CC=C31)C=C(C)C=C2,CC(=O)N1c2ccc(C)cc2Sc2c1ccc1ccccc21,"InChI=1S/C19H15NOS/c1-12-7-9-16-18(11-12)22-19-15-6-4-3-5-14(15)8-10-17(19)20(16)13(2)21/h3-11H,1-2H3",QTJGRYLNVZGRRY-UHFFFAOYSA-N,23178,DTXSID90285026,DSSTox_Substance_Id,DTXSID90285026,1-(10-methyl-7h-benzo[c]phenothiazin-7-yl)ethanone
4,CC(=O)OC1=CC2=C(CCC2=O)C2=CC=CC=C12,CC(=O)Oc1cc2c(c3ccccc13)CCC2=O,"InChI=1S/C15H12O3/c1-9(16)18-15-8-13-11(6-7-14(13)17)10-4-2-3-5-12(10)15/h2-5,8H,6-7H2,1H3",HOYFKYFYIABQLO-UHFFFAOYSA-N,23179,DTXSID00280860,DSSTox_Substance_Id,DTXSID00280860,MLS002638628
5,CCCCCC\C(=N/NS(C)(=O)=O)C1=CC=CC=C1,CCCCCCC(=NNS(C)(=O)=O)c1ccccc1,"InChI=1S/C14H22N2O2S/c1-3-4-5-9-12-14(15-16-19(2,17)18)13-10-7-6-8-11-13/h6-8,10-11,16H,3-5,9,12H2,1-2H3",KGZIECJVXAHCOC-UHFFFAOYSA-N,23180,DTXSID20416427,DSSTox_Substance_Id,DTXSID20416427,AC1NSGH8
6,ClC1=CC=C(NN(CC2=CC=NC=C2)C2=CC=C(Cl)C=C2)C=C1,Clc1ccc(NN(Cc2ccncc2)c2ccc(Cl)cc2)cc1,"InChI=1S/C18H15Cl2N3/c19-15-1-5-17(6-2-15)22-23(13-14-9-11-21-12-10-14)18-7-3-16(20)4-8-18/h1-12,22H,13H2",RVFRHSFHAZEEQE-UHFFFAOYSA-N,23181,DTXSID50300567,DSSTox_Substance_Id,DTXSID50300567,MLS002920421
7,OC1=CC(O)=C(C=C1)C(=O)\C=C\C1=CC2=C(OCO2)C=C1,O=C(C=Cc1ccc2c(c1)OCO2)c1ccc(O)cc1O,"InChI=1S/C16H12O5/c17-11-3-4-12(14(19)8-11)13(18)5-1-10-2-6-15-16(7-10)21-9-20-15/h1-8,17,19H,9H2",SQQNYFMYKXCRKD-UHFFFAOYSA-N,23182,DTXSID30417960,DSSTox_Substance_Id,DTXSID30417960,MLS002608039
8,COC1=CC(OCC2=CC=CC=C2)=C(OC)C(OCC2=CC=CC=C2)=C1,COc1cc(OCc2ccccc2)c(OC)c(OCc2ccccc2)c1,"InChI=1S/C22H22O4/c1-23-19-13-20(25-15-17-9-5-3-6-10-17)22(24-2)21(14-19)26-16-18-11-7-4-8-12-18/h3-14H,15-16H2,1-2H3",PNUMSBOKHDXVOT-UHFFFAOYSA-N,23183,DTXSID70284491,DSSTox_Substance_Id,DTXSID70284491,"1,3-bis(benzyloxy)-2,5-dimethoxybenzene"
9,NC1=CC2=C(C=C1)C1=C(C=CC(Br)=C1)C2=O,Nc1ccc2c(c1)C(=O)c1ccc(Br)cc1-2,"InChI=1S/C13H8BrNO/c14-7-1-3-10-11(5-7)9-4-2-8(15)6-12(9)13(10)16/h1-6H,15H2",NQRIUABZMBBTKP-UHFFFAOYSA-N,23184,DTXSID90293565,DSSTox_Substance_Id,DTXSID90293565,2-amino-6-bromo-9h-fluoren-9-one
10,COC1=CC(=CC(OC)=C1OC)C1=CN(CC2=CC=CC=C2)CCC1=O,COc1cc(C2=CN(Cc3ccccc3)CCC2=O)cc(OC)c1OC,"InChI=1S/C21H23NO4/c1-24-19-11-16(12-20(25-2)21(19)26-3)17-14-22(10-9-18(17)23)13-15-7-5-4-6-8-15/h4-8,11-12,14H,9-10,13H2,1-3H3",FLTAZXQUOLULAZ-UHFFFAOYSA-N,23185,DTXSID40657850,DSSTox_Substance_Id,DTXSID40657850,"1-Benzyl-5-(3,4,5-trimethoxyphenyl)-2,3-dihydropyridin-4(1H)-one"
11,COC1=CC=C(C=C1)C1=C(CC2=CC=CC=C2O1)C=O,COc1ccc(C2=C(C=O)Cc3ccccc3O2)cc1,"InChI=1S/C17H14O3/c1-19-15-8-6-12(7-9-15)17-14(11-18)10-13-4-2-3-5-16(13)20-17/h2-9,11H,10H2,1H3",DRIVMABCRRLHEU-UHFFFAOYSA-N,23186,DTXSID30635824,DSSTox_Substance_Id,DTXSID30635824,2-(4-Methoxyphenyl)-4H-1-benzopyran-3-carbaldehyde
12,BrCCCCN1N(C(=O)C2=CC=CC=C2C1=O)C1=CC=CC=C1,O=c1c2ccccc2c(=O)n(-c2ccccc2)n1CCCCBr,"InChI=1S/C18H17BrN2O2/c19-12-6-7-13-20-17(22)15-10-4-5-11-16(15)18(23)21(20)14-8-2-1-3-9-14/h1-5,8-11H,6-7,12-13H2",HGNAOGYATYGNJW-UHFFFAOYSA-N,23187,DTXSID30365093,DSSTox_Substance_Id,DTXSID30365093,AF-833/12533001
13,CN(CC1=CC=CC=C1)C(=O)C(=O)C1=CNC2=CC=CC=C12,CN(Cc1ccccc1)C(=O)C(=O)c1c[nH]c2ccccc12,"InChI=1S/C18H16N2O2/c1-20(12-13-7-3-2-4-8-13)18(22)17(21)15-11-19-16-10-6-5-9-14(15)16/h2-11,19H,12H2,1H3",DMYXHLDUOCLXTK-UHFFFAOYSA-N,23188,DTXSID90302186,DSSTox_Substance_Id,DTXSID90302186,N-Benzyl-2-(1H-indol-3-yl)-N-methyl-2-oxo-acetamide
14,CC1=CC2=NC(=O)C(C3=CC=CC=C3)C(=O)N2C=C1,Cc1ccn2c(=O)c(-c3ccccc3)c(O)nc2c1,"InChI=1S/C15H12N2O2/c1-10-7-8-17-12(9-10)16-14(18)13(15(17)19)11-5-3-2-4-6-11/h2-9,18H,1H3",HYPYDPKTCNIMTH-UHFFFAOYSA-N,23189,DTXSID00290085,DSSTox_Substance_Id,DTXSID00290085,MLS002693570
15,O=C1CCCCC1(C1=CC=CC=C1)C1=CC=CC=C1,O=C1CCCCC1(c1ccccc1)c1ccccc1,"InChI=1S/C18H18O/c19-17-13-7-8-14-18(17,15-9-3-1-4-10-15)16-11-5-2-6-12-16/h1-6,9-12H,7-8,13-14H2",VVZQVFCTDWFOOD-UHFFFAOYSA-N,23190,DTXSID30177133,DSSTox_Substance_Id,DTXSID30177133,"Cyclohexanone, 2,2-diphenyl-"
16,BrC1=CC=C(C=C1)S(=O)(=O)NC1CCCCC1,O=S(=O)(NC1CCCCC1)c1ccc(Br)cc1,"InChI=1S/C12H16BrNO2S/c13-10-6-8-12(9-7-10)17(15,16)14-11-4-2-1-3-5-11/h6-9,11,14H,1-5H2",XATZMSCJHBJRTQ-UHFFFAOYSA-N,23191,DTXSID10355013,DSSTox_Substance_Id,DTXSID10355013,4-bromo-N-cyclohexylbenzenesulfonamide
17,CC(=O)N1C2=CC=CC=C2SC2=C1C1=CC=CC=C1C=C2,CC(=O)N1c2ccccc2Sc2ccc3ccccc3c21,"InChI=1S/C18H13NOS/c1-12(20)19-15-8-4-5-9-16(15)21-17-11-10-13-6-2-3-7-14(13)18(17)19/h2-11H,1H3",WTGSGOWXQKIPQO-UHFFFAOYSA-N,23192,DTXSID90313535,DSSTox_Substance_Id,DTXSID90313535,MLS003115436
18,OCCN1N=C(C=C1C1=CC=CC=C1)C1=CC=CC=C1,OCCn1nc(-c2ccccc2)cc1-c1ccccc1,"InChI=1S/C17H16N2O/c20-12-11-19-17(15-9-5-2-6-10-15)13-16(18-19)14-7-3-1-4-8-14/h1-10,13,20H,11-12H2",AOFZRKYYWGXJES-UHFFFAOYSA-N,23193,DTXSID10217203,DSSTox_Substance_Id,DTXSID10217203,"1-(2-Hydroxyethyl)-3,5-diphenyl-1H-pyrazole"
19,COC1=CC=C(C=CC(=O)C2=C(O)C=CC(O)=C2)C=C1,COc1ccc(C=CC(=O)c2cc(O)ccc2O)cc1,"InChI=1S/C16H14O4/c1-20-13-6-2-11(3-7-13)4-8-15(18)14-10-12(17)5-9-16(14)19/h2-10,17,19H,1H3",FUQGIYDZGLORRC-UHFFFAOYSA-N,23194,DTXSID90286619,DSSTox_Substance_Id,DTXSID90286619,"2',5'-DIHYDROXY-4-METHOXYCHALCONE"
20,[O-][N+](=O)C1=C(SC2=CC=CC=N2)C=CC(=C1)C(F)(F)F,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Sc1ccccn1,"InChI=1S/C12H7F3N2O2S/c13-12(14,15)8-4-5-10(9(7-8)17(18)19)20-11-3-1-2-6-16-11/h1-7H",YYVHNASCJDCQPY-UHFFFAOYSA-N,23195,DTXSID70351278,DSSTox_Substance_Id,DTXSID70351278,SBB055231
21,[H]C12CC3([H])CC([H])(C1)CC(C2)(C3)C(=O)NC1=CC=CC(=C1)C(F)(F)F,O=C(Nc1cccc(C(F)(F)F)c1)C12CC3CC(CC(C3)C1)C2,"InChI=1S/C18H20F3NO/c19-18(20,21)14-2-1-3-15(7-14)22-16(23)17-8-11-4-12(9-17)6-13(5-11)10-17/h1-3,7,11-13H,4-6,8-10H2,(H,22,23)",HFGKXGVVJZHNEY-UHFFFAOYSA-N,23196,DTXSID70317915,DSSTox_Substance_Id,DTXSID70317915,ST50927308
22,COC(=O)C1=C(OC2=CC=CC=C2)N=CC=C1,COC(=O)c1cccnc1Oc1ccccc1,"InChI=1S/C13H11NO3/c1-16-13(15)11-8-5-9-14-12(11)17-10-6-3-2-4-7-10/h2-9H,1H3",CYBVAKNBOUITGD-UHFFFAOYSA-N,23197,DTXSID90190161,DSSTox_Substance_Id,DTXSID90190161,"3-Pyridinecarboxylic acid, 2-phenoxy-, methyl ester"
23,ClCCN1C=NC2=C1N=CN=C2SCC1=CC=CC=C1Cl,ClCCn1cnc2c(SCc3ccccc3Cl)ncnc21,"InChI=1S/C14H12Cl2N4S/c15-5-6-20-9-19-12-13(20)17-8-18-14(12)21-7-10-3-1-2-4-11(10)16/h1-4,8-9H,5-7H2",JIVHOWFJTJBYTK-UHFFFAOYSA-N,23198,DTXSID60289076,DSSTox_Substance_Id,DTXSID60289076,BC 77
24,CC1=CC=CC=C1NC1=C2C=CC=CC2=NC1=O,Cc1ccccc1N=C1C(=O)Nc2ccccc21,"InChI=1S/C15H12N2O/c1-10-6-2-4-8-12(10)16-14-11-7-3-5-9-13(11)17-15(14)18/h2-9H,1H3,(H,16,17,18)",WEYMDCYCTNHOIQ-UHFFFAOYSA-N,23199,DTXSID70296796,DSSTox_Substance_Id,DTXSID70296796,MLS002706415
