,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,CON1C2=CC=CC=C2C(C=O)=C1C1=CC=CC=C1,COn1c(-c2ccccc2)c(C=O)c2ccccc21,"InChI=1S/C16H13NO2/c1-19-17-15-10-6-5-9-13(15)14(11-18)16(17)12-7-3-2-4-8-12/h2-11H,1H3",BPVFSHVFYDLETP-UHFFFAOYSA-N,27350,DTXSID7065833,DSSTox_Substance_Id,DTXSID7065833,"1H-Indole-3-carboxaldehyde, 1-methoxy-2-phenyl-"
1,O=C1CC(SC2=CC=CC=C2N1)C1=CC=CO1,O=C1CC(c2ccco2)Sc2ccccc2N1,"InChI=1S/C13H11NO2S/c15-13-8-12(10-5-3-7-16-10)17-11-6-2-1-4-9(11)14-13/h1-7,12H,8H2,(H,14,15)",MNZVCRXTLKYQGL-UHFFFAOYSA-N,27351,DTXSID30372383,DSSTox_Substance_Id,DTXSID30372383,"1,5-Benzothiazepin-4(5H)-one, 2-(2-furanyl)-2,3-dihydro-"
2,Cl.C(C1CCCNC1)C1=CC=CC=C1,c1ccc(CC2CCCNC2)cc1,"InChI=1S/C12H17N/c1-2-5-11(6-3-1)9-12-7-4-8-13-10-12/h1-3,5-6,12-13H,4,7-10H2",BKDMXVREWXKZLB-UHFFFAOYSA-N,27352,DTXSID60583263,DSSTox_Substance_Id,DTXSID60583263,3-Benzylpiperidine--hydrogen chloride (1/1)
3,[O-][N+](=O)C1=CC=CC2=CC=CC(=C12)[N+]([O-])=O,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,InChI=1S/C10H6N2O4/c13-11(14)8-5-1-3-7-4-2-6-9(10(7)8)12(15)16/h1-6H,AVCSMMMOCOTIHF-UHFFFAOYSA-N,27353,DTXSID9025166,DSSTox_Substance_Id,DTXSID9025166,"1,8-Dinitronaphthalene"
4,FC1=CC=CC=C1C(=O)NC(=O)NCC1=CC=CC=C1,O=C(NCc1ccccc1)NC(=O)c1ccccc1F,"InChI=1S/C15H13FN2O2/c16-13-9-5-4-8-12(13)14(19)18-15(20)17-10-11-6-2-1-3-7-11/h1-9H,10H2,(H2,17,18,19,20)",LARURAVWLOQQAB-UHFFFAOYSA-N,27354,DTXSID00357925,DSSTox_Substance_Id,DTXSID00357925,N-(BENZYLCARBAMOYL)-2-FLUORO-BENZAMIDE
5,[N-]=C=NC#N.CCCCN1C=C[N+](C)=C1,CCCCn1cc[n+](C)c1,"InChI=1S/C8H15N2/c1-3-4-5-10-7-6-9(2)8-10/h6-8H,3-5H2,1-2H3/q+1",IQQRAVYLUAZUGX-UHFFFAOYSA-N,27355,DTXSID9047910,DSSTox_Substance_Id,DTXSID9047910,1-Butyl-3-methylimidazolium dicyanamide
6,FC1=C(CCl)C(Cl)=CC=C1,Fc1cccc(Cl)c1CCl,"InChI=1S/C7H5Cl2F/c8-4-5-6(9)2-1-3-7(5)10/h1-3H,4H2",MJGOLNNLNQQIHR-UHFFFAOYSA-N,27356,DTXSID8038855,DSSTox_Substance_Id,DTXSID8038855,1-Chloro-2-(chloromethyl)-3-fluorobenzene
7,CC(O)CCO,CC(O)CCO,"InChI=1S/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3",PUPZLCDOIYMWBV-UHFFFAOYSA-N,27357,DTXSID8026773,DSSTox_Substance_Id,DTXSID8026773,"1,3-Butanediol"
8,CCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCC,CCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCC,"InChI=1S/C22H42O4/c1-3-5-7-9-10-12-16-20-26-22(24)18-14-13-17-21(23)25-19-15-11-8-6-4-2/h3-20H2,1-2H3",DLZBUNUDESZERL-UHFFFAOYSA-N,27358,DTXSID80273972,DSSTox_Substance_Id,DTXSID80273972,Heptyl nonyl adipate
9,Cl.OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",MYSWGUAQZAJSOK-UHFFFAOYSA-N,27359,DTXSID1047788,DSSTox_Substance_Id,DTXSID1047788,Ciprofloxacin hydrochloride
