,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,CC(C)C[C@H](NC(=O)C(O)C(N)CC1=CC=C(Cl)C=C1)C(O)=O,CC(C)CC(NC(=O)C(O)C(N)Cc1ccc(Cl)cc1)C(=O)O,"InChI=1S/C16H23ClN2O4/c1-9(2)7-13(16(22)23)19-15(21)14(20)12(18)8-10-3-5-11(17)6-4-10/h3-6,9,12-14,20H,7-8,18H2,1-2H3,(H,19,21)(H,22,23)",QOAZZKLGKZIHIQ-UHFFFAOYSA-N,DTXSID90742184,DSSTox_Substance_Id,DTXSID90742184,N-[3-Amino-4-(4-chlorophenyl)-2-hydroxybutanoyl]-L-leucine
1,CC(=O)C1=CC(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)=CC=C1,CC(=O)c1cccc(NC(=O)N(Cc2ccccc2)Cc2ccccc2)c1,"InChI=1S/C23H22N2O2/c1-18(26)21-13-8-14-22(15-21)24-23(27)25(16-19-9-4-2-5-10-19)17-20-11-6-3-7-12-20/h2-15H,16-17H2,1H3,(H,24,27)",IWLQENQDBDKROZ-UHFFFAOYSA-N,DTXSID20608163,DSSTox_Substance_Id,DTXSID20608163,"N'-(3-Acetylphenyl)-N,N-dibenzylurea"
2,CCCCN(CC1=CC=CC=C1)C(=O)NC1=CC=CC(C)=C1,CCCCN(Cc1ccccc1)C(=O)Nc1cccc(C)c1,"InChI=1S/C19H24N2O/c1-3-4-13-21(15-17-10-6-5-7-11-17)19(22)20-18-12-8-9-16(2)14-18/h5-12,14H,3-4,13,15H2,1-2H3,(H,20,22)",QUMQURXEFSSGLJ-UHFFFAOYSA-N,DTXSID90547873,DSSTox_Substance_Id,DTXSID90547873,N-Benzyl-N-butyl-N'-(3-methylphenyl)urea
3,CCCCN(CC1=CC=CC=C1)C(=O)NC1=CC=CC=C1[N+]([O-])=O,CCCCN(Cc1ccccc1)C(=O)Nc1ccccc1[N+](=O)[O-],"InChI=1S/C18H21N3O3/c1-2-3-13-20(14-15-9-5-4-6-10-15)18(22)19-16-11-7-8-12-17(16)21(23)24/h4-12H,2-3,13-14H2,1H3,(H,19,22)",VGHQXGPVLGDSKU-UHFFFAOYSA-N,DTXSID30568880,DSSTox_Substance_Id,DTXSID30568880,N-Benzyl-N-butyl-N'-(2-nitrophenyl)urea
4,CCOC(=O)C1=CC=C(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C=C1,CCOC(=O)c1ccc(NC(=O)N(Cc2ccccc2)Cc2ccccc2)cc1,"InChI=1S/C24H24N2O3/c1-2-29-23(27)21-13-15-22(16-14-21)25-24(28)26(17-19-9-5-3-6-10-19)18-20-11-7-4-8-12-20/h3-16H,2,17-18H2,1H3,(H,25,28)",GYXKHORJEDYMBH-UHFFFAOYSA-N,DTXSID70589559,DSSTox_Substance_Id,DTXSID70589559,Ethyl 4-[(dibenzylcarbamoyl)amino]benzoate
5,CCCCN(CCCC)C(=O)NC1=CC=CC(=C1)C(C)=O,CCCCN(CCCC)C(=O)Nc1cccc(C(C)=O)c1,"InChI=1S/C17H26N2O2/c1-4-6-11-19(12-7-5-2)17(21)18-16-10-8-9-15(13-16)14(3)20/h8-10,13H,4-7,11-12H2,1-3H3,(H,18,21)",ISSZSDVLXPEONC-UHFFFAOYSA-N,DTXSID20608143,DSSTox_Substance_Id,DTXSID20608143,"N'-(3-Acetylphenyl)-N,N-dibutylurea"
6,CCCCN(CC1=CC=CC=C1)C(=O)NC1=CC=CC=C1C,CCCCN(Cc1ccccc1)C(=O)Nc1ccccc1C,"InChI=1S/C19H24N2O/c1-3-4-14-21(15-17-11-6-5-7-12-17)19(22)20-18-13-9-8-10-16(18)2/h5-13H,3-4,14-15H2,1-2H3,(H,20,22)",SXXGWNNIVJZDPD-UHFFFAOYSA-N,DTXSID30547872,DSSTox_Substance_Id,DTXSID30547872,N-Benzyl-N-butyl-N'-(2-methylphenyl)urea
7,CCCCN(CCCC)C(=O)NC1=CC=C(OC)C=C1,CCCCN(CCCC)C(=O)Nc1ccc(OC)cc1,"InChI=1S/C16H26N2O2/c1-4-6-12-18(13-7-5-2)16(19)17-14-8-10-15(20-3)11-9-14/h8-11H,4-7,12-13H2,1-3H3,(H,17,19)",OMLOKUUYXXMXED-UHFFFAOYSA-N,DTXSID20393628,DSSTox_Substance_Id,DTXSID20393628,"Urea, N,N-dibutyl-N'-(4-methoxyphenyl)-"
8,CCCCN(CC1=CC=CC=C1)C(=O)NC1=CC(Cl)=CC(Cl)=C1,CCCCN(Cc1ccccc1)C(=O)Nc1cc(Cl)cc(Cl)c1,"InChI=1S/C18H20Cl2N2O/c1-2-3-9-22(13-14-7-5-4-6-8-14)18(23)21-17-11-15(19)10-16(20)12-17/h4-8,10-12H,2-3,9,13H2,1H3,(H,21,23)",AGYWMLJGOQMPDZ-UHFFFAOYSA-N,DTXSID40547883,DSSTox_Substance_Id,DTXSID40547883,"N-Benzyl-N-butyl-N'-(3,5-dichlorophenyl)urea"
9,CC1=CC=CC=C1NC(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1,Cc1ccccc1NC(=O)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C22H22N2O/c1-18-10-8-9-15-21(18)23-22(25)24(16-19-11-4-2-5-12-19)17-20-13-6-3-7-14-20/h2-15H,16-17H2,1H3,(H,23,25)",YMEBJDUJFQLXEE-UHFFFAOYSA-N,DTXSID80393508,DSSTox_Substance_Id,DTXSID80393508,"1,1-dibenzyl-3-(2-methylphenyl)urea"
