,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,NC1=CC=C(OC2=CC(OC3=CC=C(N)C=C3)=CC=C2)C=C1,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,"InChI=1S/C18H16N2O2/c19-13-4-8-15(9-5-13)21-17-2-1-3-18(12-17)22-16-10-6-14(20)7-11-16/h1-12H,19-20H2",WUPRYUDHUFLKFL-UHFFFAOYSA-N,DTXSID8051914,DSSTox_Substance_Id,DTXSID8051914,"1,3-Phenylenedi(4-aminophenyl ether)"
1,FC(F)(F)C1=CC=CC=C1,FC(F)(F)c1ccccc1,"InChI=1S/C7H5F3/c8-7(9,10)6-4-2-1-3-5-6/h1-5H",GETTZEONDQJALK-UHFFFAOYSA-N,DTXSID2024589,DSSTox_Substance_Id,DTXSID2024589,Benzotrifluoride
2,COC(=O)C1=CC2=C(S1)C1=CC=CC=C1OC2,COC(=O)c1cc2c(s1)-c1ccccc1OC2,"InChI=1S/C13H10O3S/c1-15-13(14)11-6-8-7-16-10-5-3-2-4-9(10)12(8)17-11/h2-6H,7H2,1H3",SSWWLCIIZQNEAE-UHFFFAOYSA-N,DTXSID70393931,DSSTox_Substance_Id,DTXSID70393931,"methyl 4H-thieno[3,2-c]chromene-2-carboxylate"
3,COC1=CC=C(NCCC#N)C=C1,COc1ccc(NCCC#N)cc1,"InChI=1S/C10H12N2O/c1-13-10-5-3-9(4-6-10)12-8-2-7-11/h3-6,12H,2,8H2,1H3",SUFDSOYDJABSBR-UHFFFAOYSA-N,DTXSID60368032,DSSTox_Substance_Id,DTXSID60368032,3-(4-methoxyanilino)propanenitrile
4,O=C1CSC2=NC3=CC=CC=C3N12,Oc1csc2nc3ccccc3n12,"InChI=1S/C9H6N2OS/c12-8-5-13-9-10-6-3-1-2-4-7(6)11(8)9/h1-5,12H",BQMJLKPDZSRACU-UHFFFAOYSA-N,DTXSID40284120,DSSTox_Substance_Id,DTXSID40284120,"[1,3]Thiazolo[3,2-a]benzimidazol-3(2H)-one"
5,CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CC=CC=C1)C2=O)C(O)=O,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,"InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)",ZAIPMKNFIOOWCQ-UHFFFAOYSA-N,DTXSID20274382,DSSTox_Substance_Id,DTXSID20274382,7-[2-Amino(phenyl)acetamido]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid
6,CC1=CC=C(C=C1)C1SCCN1C(=O)C1=CC=C(C=C1)[N+]([O-])=O,Cc1ccc(C2SCCN2C(=O)c2ccc([N+](=O)[O-])cc2)cc1,"InChI=1S/C17H16N2O3S/c1-12-2-4-14(5-3-12)17-18(10-11-23-17)16(20)13-6-8-15(9-7-13)19(21)22/h2-9,17H,10-11H2,1H3",URUHSVUUYGSFBK-UHFFFAOYSA-N,DTXSID70391735,DSSTox_Substance_Id,DTXSID70391735,"[2-(4-Methylphenyl)-1,3-thiazolidin-3-yl](4-nitrophenyl)methanone"
7,Cl.Cl.C(CN1CCN(CCOC(C2=CC=CC=C2)C2=CC=CC=C2)CC1)CC1=CC=CC=C1,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,"InChI=1S/C28H34N2O/c1-4-11-25(12-5-1)13-10-18-29-19-21-30(22-20-29)23-24-31-28(26-14-6-2-7-15-26)27-16-8-3-9-17-27/h1-9,11-12,14-17,28H,10,13,18-24H2",RAQPOZGWANIDQT-UHFFFAOYSA-N,DTXSID6042573,DSSTox_Substance_Id,DTXSID6042573,1-[2-(Diphenylmethoxy)ethyl]-4-(3-phenylpropyl)piperazine dihydrochloride
8,Cl.CN1CCC2=CC3=C(OCO3)C=C2C1O,CN1CCc2cc3c(cc2C1O)OCO3,"InChI=1S/C11H13NO3/c1-12-3-2-7-4-9-10(15-6-14-9)5-8(7)11(12)13/h4-5,11,13H,2-3,6H2,1H3",YOJQZPVUNUQTDF-UHFFFAOYSA-N,DTXSID0047878,DSSTox_Substance_Id,DTXSID0047878,Hydrastinine hydrochloride
9,C[C@@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",GSDSWSVVBLHKDQ-UHFFFAOYSA-N,DTXSID1058715,DSSTox_Substance_Id,DTXSID1058715,d-Levofloxacin
