hgnc_symbol,ensembl_gene_id
A2M,ENSG00000175899
AADACL2,ENSG00000197953
AANAT,ENSG00000129673
AARS1,ENSG00000090861
AATF,ENSG00000276072
ABCB10,ENSG00000135776
ABCB11,ENSG00000276582
ABCC1,ENSG00000278183
ABCC10,ENSG00000124574
ABCC11,ENSG00000121270
ABCC4,ENSG00000125257
ABCC6,ENSG00000275331
ABCC8,ENSG00000006071
ABCD3,ENSG00000117528
ABHD16A,ENSG00000204427
ABHD4,ENSG00000100439
ABL1,ENSG00000097007
ABTB1,ENSG00000114626
ABTB2,ENSG00000166016
ACAD10,ENSG00000111271
ACAD9,ENSG00000177646
ACADS,ENSG00000122971
ACAP2,ENSG00000114331
ACAT2,ENSG00000120437
ACBD3,ENSG00000182827
ACBD4,ENSG00000181513
ACBD5,ENSG00000107897
ACE2,ENSG00000130234
ACKR3,ENSG00000144476
ACLY,ENSG00000131473
ACO2,ENSG00000100412
ACOT6,ENSG00000205669
ACP6,ENSG00000162836
ACRBP,ENSG00000111644
ACSF3,ENSG00000176715
ACSM3,ENSG00000005187
ACSM4,ENSG00000215009
ACSM6,ENSG00000173124
ACTBL2,ENSG00000169067
ACTC1,ENSG00000159251
ACTG1,ENSG00000291420
ACTG1P20,ENSG00000241547
ACTG2,ENSG00000163017
ACTL7A,ENSG00000187003
ACTR10,ENSG00000131966
ACTR3-AS1,ENSG00000228857
ACTR5,ENSG00000101442
ACTRT3,ENSG00000184378
ACVR2B-AS1,ENSG00000229589
ADAD1,ENSG00000164113
ADAM2,ENSG00000276286
ADAM21,ENSG00000139985
ADAM23,ENSG00000114948
ADAM8,ENSG00000151651
ADAMDEC1,ENSG00000134028
ADAMTS9-AS2,ENSG00000241684
ADAR,ENSG00000160710
ADAT1,ENSG00000065457
ADAT2,ENSG00000189007
ADAT3,ENSG00000213638
ADCY3,ENSG00000138031
ADCY5,ENSG00000173175
ADCYAP1R1,ENSG00000078549
ADGRA1,ENSG00000197177
ADGRA2,ENSG00000020181
ADGRA3,ENSG00000152990
ADGRD2,ENSG00000180264
ADGRE1,ENSG00000174837
ADGRE2,ENSG00000127507
ADGRE4P,ENSG00000268758
ADGRE5,ENSG00000123146
ADGRF1,ENSG00000153292
ADGRG2,ENSG00000173698
ADGRG5,ENSG00000159618
ADM2,ENSG00000128165
ADM5,ENSG00000224420
ADORA1,ENSG00000163485
ADPRHL1,ENSG00000153531
AFAP1,ENSG00000196526
AFDN,ENSG00000130396
AFDN-DT,ENSG00000198221
AFF1,ENSG00000172493
AFF3,ENSG00000144218
AFMID,ENSG00000183077
AGA,ENSG00000038002
AGAP1-IT1,ENSG00000235529
AGAP4,ENSG00000188234
AGAP7P,ENSG00000264204
AGL,ENSG00000162688
AGO1,ENSG00000092847
AGPAT1,ENSG00000236873
AGPAT2,ENSG00000169692
AGRN,ENSG00000188157
AHDC1,ENSG00000126705
AHNAK,ENSG00000124942
AHR,ENSG00000106546
AIMP1,ENSG00000164022
AIPL1,ENSG00000129221
AIRE,ENSG00000160224
AJUBA,ENSG00000129474
AK2,ENSG00000004455
AK3,ENSG00000147853
AK4,ENSG00000162433
AK8,ENSG00000165695
AKAP14,ENSG00000186471
AKAP3,ENSG00000111254
AKAP5,ENSG00000179841
AKAP7,ENSG00000118507
AKAP8,ENSG00000105127
AKIP1,ENSG00000166452
AKNA,ENSG00000106948
AKR1B15,ENSG00000227471
AKR1C6P,ENSG00000151631
AKR1C8,ENSG00000264006
AKR7A2P1,ENSG00000280751
AKR7A3,ENSG00000162482
AKT2,ENSG00000105221
AKT3,ENSG00000275199
ALAD,ENSG00000148218
ALB,ENSG00000163631
ALDH2,ENSG00000111275
ALDH4A1,ENSG00000159423
ALG1L2,ENSG00000251287
ALG6,ENSG00000088035
ALOX15,ENSG00000161905
ALPK1,ENSG00000073331
ALPL,ENSG00000162551
AMBRA1,ENSG00000110497
AMER1,ENSG00000184675
AMER2,ENSG00000165566
AMHR2,ENSG00000135409
AMIGO3,ENSG00000176020
AMPD1,ENSG00000116748
AMPH,ENSG00000078053
AMT,ENSG00000145020
AMY2A,ENSG00000243480
AMZ1,ENSG00000174945
ANGPT2,ENSG00000091879
ANGPTL1,ENSG00000116194
ANGPTL3,ENSG00000132855
ANKEF1,ENSG00000132623
ANKFN1,ENSG00000153930
ANKHD1,ENSG00000131503
ANKIB1,ENSG00000001629
ANKLE1,ENSG00000160117
ANKRD13C,ENSG00000118454
ANKRD20A11P,ENSG00000215559
ANKRD20A9P,ENSG00000206192
ANKRD23,ENSG00000163126
ANKRD26P1,ENSG00000261239
ANKRD30A,ENSG00000148513
ANKRD36C,ENSG00000174501
ANKRD40CL,ENSG00000167117
ANKRD50,ENSG00000151458
ANKRD55,ENSG00000164512
ANKRD6,ENSG00000135299
ANKUB1,ENSG00000206199
ANKZF1,ENSG00000163516
ANO10,ENSG00000160746
ANO2,ENSG00000047617
ANO5,ENSG00000171714
ANO9,ENSG00000185101
ANP32BP1,ENSG00000259790
ANXA11,ENSG00000122359
ANXA5,ENSG00000164111
AOC3,ENSG00000131471
AP2A1,ENSG00000196961
AP2M1,ENSG00000161203
AP3B1,ENSG00000132842
AP3M2,ENSG00000070718
AP3S1,ENSG00000177879
AP5B1,ENSG00000254470
APBB3,ENSG00000113108
APCDD1L,ENSG00000198768
APH1A,ENSG00000117362
APMAP,ENSG00000101474
APOA1,ENSG00000118137
APOB,ENSG00000291544
APOBEC3A,ENSG00000262156
APOBEC3B-AS1,ENSG00000249310
APOBEC3D,ENSG00000243811
APOBEC4,ENSG00000173627
APOF,ENSG00000175336
APOH,ENSG00000091583
APOL3,ENSG00000128284
APOL6,ENSG00000221963
APOO,ENSG00000184831
APRG1,ENSG00000198590
APRT,ENSG00000198931
AQP4,ENSG00000171885
AQP4-AS1,ENSG00000260372
ARAP3,ENSG00000120318
ARC,ENSG00000198576
ARF1P1,ENSG00000219807
ARFGAP3,ENSG00000242247
ARFGEF3,ENSG00000112379
ARGFXP2,ENSG00000265293
ARHGAP11A,ENSG00000275568
ARHGAP18,ENSG00000146376
ARHGAP21,ENSG00000107863
ARHGAP24,ENSG00000138639
ARHGAP26-AS1,ENSG00000226272
ARHGAP26-IT1,ENSG00000230789
ARHGAP30,ENSG00000186517
ARHGAP45,ENSG00000180448
ARHGAP6,ENSG00000047648
ARHGAP9,ENSG00000123329
ARHGEF15,ENSG00000198844
ARHGEF17,ENSG00000110237
ARHGEF26-AS1,ENSG00000281157
ARHGEF39,ENSG00000137135
ARHGEF4,ENSG00000136002
ARID1A,ENSG00000117713
ARID1B,ENSG00000049618
ARID3B,ENSG00000179361
